업체명,수거지역,인구수(명),일반폐기물_소각(톤),일반폐기물_수도권매립(톤),일반폐기물_연탄재(톤),음식물_통(톤),음식물_봉투(톤),대형폐기물_소각(톤),재활용품(톤),데이터기준일자
대원산업,"호평동,평내동,금곡동",113956,6373.78,1249.89,108.18,9715.58,1966.11,531.45,2949.13,2017-06-26
금곡산업,"양정동,지금동,도농동",63766,3059.37,728.98,139.07,5019.01,959.01,505.85,2300.57,2017-06-26
성일기업,"와부읍,조안면",73677,3614.55,1172.01,188.26,5920.34,1331.15,394.78,1596.92,2017-06-26
농경산업,"진접읍,오남읍",151518,4905.18,5706.38,582.16,12955.73,1793.85,849.89,3525.23,2017-06-26
마석산업,"화도읍,수동면",113926,6534.38,6534.38,383.48,9245.45,2851.98,2986.28,3450.43,2017-06-26
미도산업,"별내면,퇴계원면,별내동",117883,10638.64,0,231.28,5648.74,2076.03,839.91,2150.33,2017-06-26
삼영기업,진건읍,27428,2021.21,0,96.88,2245.33,828.37,612.87,1171.47,2017-06-26
알엔알,전지역,662154,0,0,0,0,0,8146.39,0,2017-06-26
