index,english,math,korean,average,average_3,avg_gap,extra_edu,sleep_time
68,76.0,80.0,83.0,5.0,79.66666666666667,-74.66666666666667,7.0,7.0
69,64.0,60.0,91.0,66.28,71.66666666666667,-5.38666666666667,4.0,5.0
70,74.0,67.0,65.0,74.55,68.66666666666667,5.883333333333326,1.0,7.0
71,55.4,84.0,90.8,84.32,76.73333333333333,7.586666666666659,3.0,7.0
72,85.0,66.0,82.0,82.0,77.66666666666667,4.333333333333329,1.0,6.0
73,64.0,58.0,85.0,71.0,69.0,2.0,2.0,5.0
74,65.3,73.1,92.0,76.92,76.8,0.12000000000000455,1.0,7.0
75,79.6,93.1,81.5,83.4254,84.73333333333333,-1.307933333333338,3.0,4.0
76,79.6,93.1,81.5,83.4254,84.73333333333333,-1.307933333333338,3.0,4.0
77,79.6,93.1,81.5,83.4254,84.73333333333333,-1.307933333333338,3.0,4.0
78,72.0,71.33,80.0,75.0,74.44333333333333,0.556666666666672,3.0,6.0
79,50.0,78.0,90.0,3.2,72.66666666666667,-69.46666666666667,2.0,6.0
80,80.8,73.8,96.9,2.42,83.83333333333333,-81.41333333333333,3.0,7.0
81,76.0,84.0,100.0,2.5,86.66666666666667,-84.16666666666667,2.0,6.0
82,77.0,97.0,96.8,94.48,90.26666666666667,4.213333333333338,,7.0
83,84.0,83.0,80.0,82.0,82.33333333333333,-0.3333333333333286,2.0,9.0
