	patent_id	application_citation_id
245	8006446	2010/0236242
246	8006446	2009/0090277
247	8006446	2010/0230830
248	8006446	2005/0036932
249	8006446	2008/0270272
250	8006446	2010/0290967
251	8006446	2011/0059000
252	8006446	2005/0031515
253	8006446	2004/0014845
254	8006446	2006/0195002
255	8006446	2004/0028963
256	8006446	2010/0144521
257	8006446	2009/0010827
258	8006446	2010/0200419
259	8006446	2008/0099122
260	8006446	2002/0127474
261	8006446	2011/0067605
262	8006446	2010/0158786
263	8006446	2007/0045125
264	8006446	2011/0042230
265	8006446	2010/0313793
266	8006446	2010/0024686
267	8006446	2010/0230293
268	8006446	2008/0275149
269	8006446	2011/0091955
270	8006446	2007/0233616
271	8006446	2006/0288912
272	8006446	2010/0051859
273	8006446	2010/0140103
274	8006446	2011/0035154
275	8006446	2004/0111968
276	8006446	2007/0163443
277	8006446	2008/0248350
278	8006446	2004/0213705
279	8006446	2007/0184394
280	8006446	2008/0059206
281	8006446	2008/0171158
282	8006446	2005/0136310
283	8006446	2010/0077691
284	8006446	2009/0214408
285	8006446	2006/0039853
286	8006446	2004/0259231
287	8006446	2007/0186820
288	8006446	2009/0081112
289	8006446	2010/0135882
290	8006446	2010/0326328
291	8006446	2001/0022952
292	8006446	2004/0040715
293	8006446	2010/0196104
294	8006446	2011/0030586
295	8006446	2003/0027023
296	8006446	2005/0255174
297	8006446	2010/0155258
298	8006446	2006/0286011
299	8006446	2008/0233029
300	8006446	2011/0079515
301	8006446	2010/0319586
302	8006446	2003/0123930
303	8006446	2010/0084280
304	8006446	2004/0231568
305	8006446	2007/0092427
306	8006446	2006/0249380
307	8006446	2001/0054253
308	8006446	2008/0276553
309	8006446	2009/0186244
310	8006446	2009/0148238
311	8006446	2003/0188668
312	8006446	2004/0224214
313	8006446	2010/0132556
314	8006446	2005/0118081
315	8006446	2011/0054084
316	8006446	2009/0081096
317	8006446	2010/0229725
318	8006446	2005/0031522
319	8006446	2005/0002847
320	8006446	2010/0068109
321	8006446	2011/0083968
322	8006446	2005/0087496
323	8006446	2008/0245274
324	8006446	2004/0267077
325	8006446	2005/0154669
326	8006446	2010/0135865
327	8006446	2007/0212584
328	8006446	2006/0048517
329	8006446	2010/0132591
330	8006446	2007/0261947
331	8006446	2006/0173169
332	8006446	2009/0143211
333	8006446	2005/0252215
334	8006446	2004/0139891
335	8006446	2008/0104858
336	8006446	2010/0219373
337	8006446	2008/0035036
338	8006446	2004/0126293
339	8006446	2011/0071309
340	8006446	2010/0077922
341	8006446	2002/0151017
342	8006446	2011/0036728
343	8006446	2005/0011770
344	8006446	2006/0185985
345	8006446	2005/0129606
346	8006446	2004/0151957
347	8006446	2005/0232856
348	8006446	2009/0107038
349	8006446	2008/0277319
350	8006446	2001/0023655
351	8006446	2003/0017088
352	8006446	2007/0187247
353	8006446	2005/0238563
354	8006446	2009/0232861
355	8006446	2006/0184445
356	8006446	2010/0150802
357	8006446	2009/0101008
358	8006446	2009/0120644
359	8006446	2003/0229572
360	8006446	2004/0219090
361	8006446	2007/0240570
362	8006446	2010/0313794
363	8006446	2010/0326326
364	8006446	2007/0148509
365	8006446	2009/0169452
366	8006446	2008/0112868
367	8006446	2004/0052865
368	8006446	2010/0000444
369	8006446	2005/0180910
370	8006446	2002/0155103
371	8006446	2006/0051274
372	8006446	2009/0043687
373	8006446	2010/0037653
374	8006446	2007/0099038
375	8006446	2011/0132234
376	8006446	2010/0239467
377	8006446	2007/0266632
378	8006446	2008/0245660
379	8006446	2003/0126899
380	8006446	2009/0020044
381	8006446	2009/0202410
382	8006446	2007/0202032
383	8006446	2006/0189837
384	8006446	2006/0057036
385	8006446	2006/0196836
386	8006446	2010/0224503
387	8006446	2006/0165583
388	8006446	2006/0169593
389	8006446	2007/0251393
390	8006446	2008/0031801
391	8006446	2008/0178739
392	8006446	2010/0063902
393	8006446	2011/0030957
394	8006446	2008/0138265
395	8006446	2010/0276299
396	8006446	2006/0105082
397	8006446	2007/0217981
398	8006446	2011/0091366
399	8006446	2008/0213146
400	8006446	2011/0067600
401	8006446	2010/0043673
402	8006446	2004/0040671
403	8006446	2004/0228788
404	8006446	2008/0289495
405	8006446	2010/0239487
406	8006446	2009/0294366
407	8002502	2009/0211811
408	8002502	2008/0083565
409	8002502	2003/0221870
410	8002502	2009/0065255
411	8002502	2006/0191719
412	7959376	2006/0240368
413	7959376	2004/0040671
414	7959376	2006/0240369
415	7879593	2002/0117445
416	7874462	2008/0035539
417	7862700	2005/0109703
418	7862700	2003/0201235
419	7862700	2006/0060532
420	7862700	2002/0092769
421	7862700	2003/0098266
422	7862700	2001/0003329
423	7862700	2003/0155243
424	7862700	2004/0089551
425	7862700	2004/0079700
426	7862700	2002/0189951
427	7862700	2003/0089609
428	7862700	2006/0231403
429	7862700	2003/0080467
430	7850402	2003/0143026
431	7837882	2002/0179453
432	7837882	2009/0071844
433	7837882	2002/0017463
434	7837882	2004/0084326
435	7837882	2001/0004063
436	7828938	2005/0072164
437	7828938	2003/0230534
438	7828938	2005/0103643
439	7828976	2004/0144728
440	7810292	2004/0055245
441	7810292	2002/0174954
442	7810292	2003/0037499
443	7810292	2004/0231259
444	7810292	2004/0035069
445	7810292	2004/0003558
446	7810292	2003/0230035
447	7810292	2005/0138876
448	7807727	2003/0027877
449	7770333	2003/0145527
450	7736291	2004/0068156
451	7736291	2004/0024281
452	7736291	2006/0036124
453	7736291	2007/0225541
454	7736291	2003/0143031
455	7736291	2005/0049449
456	7736291	2006/0178548
457	7736291	2004/0116766
458	7736291	2006/0189837
459	7736291	2005/0209497
460	7736291	2004/0091549
461	7736291	2004/0034267
462	7736291	2004/0024283
463	7736291	2004/0006253
464	7736291	2004/0015036
465	7736291	2004/0018130
466	7736291	2005/0215841
467	7736291	2005/0209496
468	7727395	2005/0040107
469	7727395	2003/0033430
470	7727395	2003/0075501
471	7674378	2004/0173522
472	7674378	2003/0024874
473	7674378	2003/0047509
474	7669438	2005/0155380
475	7669438	2006/0254590
476	7669438	2003/0185735
477	7669438	2006/0254586
478	7669438	2006/0254587
479	7662290	2002/0066568
480	7648615	2004/0020415
481	7645097	2002/0098042
482	7645097	2005/0081459
483	7635434	2005/0145548
484	7597811	2005/0025574
485	7591309	2005/0022989
486	7591309	2003/0127226
487	7588686	2006/0273008
488	7588686	2004/0238443
489	7582269	2004/0144019
490	7563351	2002/0092769
491	7563351	2003/0080467
492	7563351	2001/0003329
493	7563351	2005/0109703
494	7563351	2004/0089551
495	7563351	2006/0231403
496	7563351	2003/0201235
497	7563351	2004/0079700
498	7563351	2003/0155243
499	7563351	2003/0089609
500	7563351	2003/0098266
501	7563351	2006/0060532
502	7563351	2002/0189951
503	7520993	2005/0279716
504	7520993	2007/0083398
505	7520993	2008/0135478
506	7520993	2005/0244313
507	7520993	2005/0051488
508	7520993	2005/0194323
509	7520993	2004/0035802
510	7497645	2004/0181112
511	7497645	2002/0133983
512	7497645	2005/0045556
513	7494586	2005/0145548
514	7410583	2002/0079266
515	7410583	2002/0148778
516	7399141	2004/0082828
517	7309188	2003/0118404
518	7309188	2001/0002497
519	7309188	2003/0199217
520	7309188	2003/0215287
521	7309188	2003/0223826
522	7309188	2004/0022583
523	7255333	2002/0003314
524	7255514	2004/0082828
525	7255793	2003/0082084
526	7232482	2003/0116887
527	7198717	2005/0045557
528	7186345	2002/0113024
529	7160472	2002/0179453
530	7160472	2002/0076370
531	7160472	2004/0028590
532	7160472	2002/0036175
533	7160472	2004/0108203
534	7153439	2002/0170864
535	7153439	2001/0025811
536	7122121	2002/0139748
537	7122121	2001/0027951
538	7122121	2004/0188339
539	7070693	2003/0070460
540	7070693	2002/0185456
541	7070693	2002/0162795
542	7070693	2003/0136165
543	7070693	2002/0127317
544	7070693	2002/0164405
545	7036314	2004/0038089
546	7022240	2002/0096472
547	7022240	2002/0056688
548	7022240	2002/0030001
549	7022240	2001/0049403
550	7022240	2002/0022059
551	7022240	2002/0040874
552	7022240	2002/0007953
553	8632273	2002/0057945
554	8529153	2002/0114669
555	8529153	2004/0018055
556	8500364	2011/0049896
557	8500364	2005/0285407
558	8496404	2011/0033242
559	8496404	2004/0098937
560	8425155	2005/0260040
