patent	ipc
531	E02D
532	C02F
533	C25D
534	C04B
535	E21B
536	C02F
537	E21B
538	C02F
539	E21B
540	E21B
541	E21B
542	E21B
543	C02F
544	B09B
545	E21B
546	C12S
547	E21B
548	B09B
549	B01D
550	C02F
551	E21B
552	C02F
553	C07F
554	C02F
555	E02D
556	E02D
557	E04H
558	B01D
559	E21B
560	E04H
561	B23P
562	C07J
563	C02F
564	E03F
565	B08B
566	C02F
567	C02F
568	B01J
569	C02F
570	B29B
571	C12S
572	B09C
573	E02D
574	C02F
575	A62D
576	C02F
577	B01D
578	C02F
579	C02F
580	B01D
581	C04B
582	C02F
583	C02F
584	F23J
585	B09B
586	C02F
587	B02C
588	B09B
589	B02C
590	C03C
591	A01H
592	F02C
593	C02F
594	B09B
595	C02F
596	C02F
597	B01D
598	B01D
599	G06F
600	C02F
601	C02F
602	C02F
603	B01D
604	E02F
605	G06F
606	E02F
607	C02F
608	B01D
609	C25C
610	C02F
611	B01D
612	B01D
613	C02F
614	C02F
615	B01D
616	F25D
617	B09C
618	G21F
619	C02F
620	F25D
621	C02F
622	C02F
623	C01B
624	B01D
625	B01J
626	E04B
627	A61L
628	B32B
629	C02F
630	G21F
631	C02F
632	C02F
633	B32B
634	B01D
635	C02F
636	C02F
637	F27D
638	A61B
639	C02F
640	C03B
641	B01D
642	B09B
643	A62D
644	C02F
645	C02F
646	C02F
647	B08B
648	C02F
649	C02F
650	C02F
651	B23K
652	C02F
653	E02D
654	B01D
655	B01D
656	E21B
657	C02F
658	A61M
659	C02F
660	A01M
661	C01D
662	E02B
663	F03B
664	A22C
665	E02B
666	E02B
667	E01F
668	E02B
669	E02B
670	B65D
671	E02B
672	E02B
673	E02B
674	E02D
675	E02B
676	E02B
677	B29C
678	B29C
679	B64C
680	E02B
681	B65D
682	E02D
683	E02B
684	E02B
685	C09K
686	B65D
687	E21B
688	E02D
689	E02D
690	E02D
691	B65B
692	E02B
693	B28B
694	E02B
695	E02B
696	F15D
697	B22C
698	B22C
699	B22C
700	E02B
701	E02B
702	C02F
703	H02P
704	B28B
705	E02D
706	E02B
707	E02D
708	E04C
709	B32B
710	E02B
711	E02D
712	E02B
713	B28B
714	C03C
715	E02B
716	B65D
717	E02B
718	D01D
719	E02B
720	B01D
721	B28B
722	F16J
723	E04C
724	E02D
725	E02B
726	E02D
727	A61B
728	B28B
729	E02D
730	E02B
731	E02B
732	E02D
733	B32B
734	E02B
735	B27N
736	E02D
737	H04N
738	E02D
739	E02B
740	E02D
741	B28B
742	E02B
743	E02D
744	E02D
745	B32B
746	E02D
747	E04H
748	B29C
749	E02D
750	E21B
751	B63B
752	E02D
753	B28B
754	E21B
755	E02B
756	E02B
757	E02D
758	E04B
759	B63B
760	B28B
761	E02B
762	E02B
763	E02D
764	E02D
765	B32B
766	B01D
767	E02F
768	B28B
769	E02B
770	E21B
771	B05C
772	E02B
773	E02B
774	E04H
775	B63B
776	E02B
777	B28B
778	E02B
779	E02B
780	E21C
781	E04G
782	E01F
783	E02B
784	E02B
785	E02D
786	E01D
787	E21B
788	E02B
789	E02B
790	E02B
791	B32B
792	G02B
793	E02D
794	G01B
795	E02B
796	E04B
797	E02B
798	E02B
799	B66C
800	E02B
801	G02B
802	E02B
803	E02B
804	E02B
805	E02D
806	B28B
807	E02B
808	B22D
809	E02B
810	E02D
811	E02D
812	E02D
813	B63B
814	B28B
815	E02B
816	B29D
817	B32B
818	B28B
819	C01D
820	E02B
821	E02B
822	E02B
823	E02D
824	E02B
825	C02F
826	E02D
827	B65B
828	B28B
829	E02B
830	H02P
831	E02B
832	E02D
833	E02B
834	E02B
835	B01D
836	E02B
837	E02B
838	E02D
839	E02D
840	C02F
841	E02B
842	C09K
843	E03B
844	E02D
845	E02B
846	E02D
847	E02D
848	B29C
849	E02D
850	B63B
851	E02D
852	E02B
853	B63B
854	E02B
855	E02D
856	E02D
857	E02B
858	E02B
859	E02B
860	E02B
861	B66C
862	B63B
863	E02B
864	E02B
865	E02B
866	E02D
867	E02B
868	G02B
869	E02B
870	E02B
871	E02B
872	E02B
873	B66C
874	E02B
875	E02B
876	G02B
877	E02B
878	E02B
879	E02D
880	B28B
881	E02B
882	E02D
883	E02D
884	B63B
885	A44B
886	B63B
887	E02D
888	E02D
889	E02B
890	E02B
891	E02D
892	E02D
893	E02B
894	E02B
895	E02D
896	B28B
897	E02B
898	E02B
899	F16L
900	E02D
901	E02B
902	E02B
903	E02B
904	E02D
905	E02B
906	E02B
907	E02D
908	E02B
909	E02D
910	F16L
911	E02B
912	E04C
913	E02B
914	F02B
915	E02B
916	E02D
917	E02D
918	E02D
919	E02B
920	B63B
921	E02B
922	E02D
923	E02B
924	E02B
925	E02D
926	E02B
927	B63B
928	E02B
929	E02D
930	E02B
931	E21B
932	E02B
933	E02B
934	E02B
935	E02B
936	E02D
937	B32B
938	E02D
939	E02B
940	B63B
941	E02D
942	E02D
943	B63B
944	E02B
945	E02B
946	E02D
947	E02D
948	E02B
949	E02B
950	B63B
951	E02B
952	E02R
953	E02D
954	E02B
955	F02D
956	E02B
957	E02B
958	E02B
959	F16F
960	E02B
961	E02B
962	E02D
963	B63B
964	E02D
965	E02B
966	F16K
967	F21V
968	E02B
969	E02B
970	B28B
971	E02B
972	B09B
973	B28B
974	E04B
975	B01D
976	B22C
977	C02F
978	E02D
979	C02F
980	E02B
981	E02D
982	E02D
983	E02D
984	E02B
985	E02D
986	C02F
987	B60P
988	E02B
989	E02B
990	E02B
991	C02F
992	B63G
993	E02B
994	G01N
995	E02B
996	C08J
997	G01M
998	B27N
999	E02B
1000	C04B
1001	E02B
1002	G06K
1003	C02F
1004	C02F
1005	E02B
1006	B01D
1007	B01D
1008	C30B
1009	E02B
1010	E02B
1011	E02B
1012	E21B
1013	E02D
1014	E02B
1015	E02D
1016	E02B
1017	C02F
1018	E02B
1019	E02B
1020	C02F
1021	E02B
1022	E02B
1023	B28B
1024	E02D
1025	E02B
1026	C02F
1027	E02B
1028	E04G
1029	B01D
1030	E02D
1031	E02B
1032	C02F
1033	F15D
1034	G06Q
1035	E02B
1036	G06G
1037	E04B
1038	E02B
1039	E02D
1040	B44B
1041	E01F
1042	C02F
1043	E04C
1044	C09K
1045	B63G
1046	E02B
1047	B63G
1048	E02D
1049	B29C
1050	C02F
1051	H01G
1052	B28B
1053	E02B
1054	E02B
1055	B28B
1056	C12N
1057	E02D
1058	B28B
1059	E02D
1060	B28B
1061	E04G
1062	B01D
1063	B67D
1064	B23P
1065	F25D
1066	G01M
1067	E02B
1068	E02B
1069	B28B
1070	E21B
1071	B28B
1072	G01M
1073	C04B
1074	C02F
1075	C02F
1076	E02D
1077	G01M
1078	B09B
1079	C02F
1080	B01D
1081	B01D
1082	E02D
1083	E01F
1084	C02F
1085	C09K
1086	E04H
1087	E02B
1088	A61L
1089	E02B
1090	C02F
1091	B28B
1092	A61B
1093	E02D
1094	B01J
1095	B01D
1096	E02B
1097	C02F
1098	B08B
1099	E02D
1100	E01F
1101	G06F
1102	G01L
1103	E02B
1104	C02F
1105	B01D
1106	E02B
1107	B01D
1108	B01D
1109	B29C
1110	C02F
1111	D06F
1112	B22C
1113	B28B
1114	B65D
1115	C02F
1116	A62D
1117	B32B
1118	A01K
1119	C02F
1120	E02D
1121	E02B
1122	E02B
1123	E02B
1124	E02D
1125	E02D
1126	B29C
1127	B08B
1128	E02D
1129	G06G
1130	E02B
1131	E02B
1132	A01K
1133	B29C
1134	C02F
1135	E02D
1136	H02G
1137	C02F
1138	E02B
1139	B28B
1140	B63C
1141	C02F
1142	E02B
1143	A01G
1144	E02B
1145	A01G
1146	E01C
1147	A61L
1148	A01J
1149	A61L
1150	A61M
1151	C02F
1152	H02M
1153	E04B
1154	E02D
1155	G21F
1156	A01G
1157	C02F
1158	C25B
1159	E02B
1160	E02B
1161	E02D
1162	H05F
1163	C02F
1164	E02B
1165	C08J
1166	E02D
1167	C02F
1168	E02B
1169	E02D
1170	C02F
1171	E02D
1172	H02M
1173	C02F
1174	B28B
1175	C02F
1176	C02F
1177	E21D
1178	C02F
1179	E02B
1180	C02F
1181	E02B
1182	A01G
1183	B01J
1184	E02D
1185	B29C
1186	E02B
1187	B01D
1188	E21D
1189	G06F
1190	A61M
1191	A63H
1192	C08K
1193	B28B
1194	H02M
1195	A61L
1196	C02F
1197	B01D
1198	B29B
1199	B65B
1200	B03B
1201	B09C
1202	B01D
1203	H02M
1204	H01G
1205	E02B
1206	E02B
1207	A61N
1208	E04D
1209	E02B
1210	E02B
1211	B01D
1212	H02M
1213	C08J
1214	C25B
1215	E04G
1216	B65B
1217	E02D
1218	G01L
1219	G02B
1220	B28B
1221	C04B
1222	E02B
1223	B09B
1224	E02D
1225	A61M
1226	E02B
1227	E02D
1228	E02B
1229	F25D
1230	E02D
1231	B01D
1232	E02B
1233	A01K
1234	C02F
1235	B32B
1236	H02M
1237	E02B
1238	A61M
1239	E02B
1240	E04B
1241	F01K
1242	C02F
1243	E02D
1244	C02F
1245	E02B
1246	B01D
1247	H02M
1248	A61M
1249	F25C
1250	E02B
1251	C02F
1252	G02B
1253	B32B
1254	C08K
1255	H01G
1256	E02B
1257	B01D
1258	A62D
1259	C02F
1260	C02F
1261	H02M
1262	B01C
1263	B01D
1264	E02B
1265	E02B
1266	B01D
1267	A61M
1268	C02F
1269	B01D
1270	E03F
1271	H02M
1272	F25D
1273	E02D
1274	E02B
1275	B09B
1276	G21F
1277	F25D
1278	G21F
1279	F27D
1280	A61M
1281	H01L
1282	H02M
1283	E02B
1284	E02B
1285	A01K
1286	B01D
1287	C02F
1288	E02B
1289	C02F
1290	A62D
1291	B01J
1292	B01D
1293	C09K
1294	C02F
1295	C02F
1296	C02F
1297	C02F
1298	C02F
1299	A61L
1300	C02F
1301	C02F
1302	B09B
1303	B01D
1304	B01F
1305	F28D
1306	B01J
1307	C02F
1308	C02F
1309	A61L
1310	C02F
1311	B09C
1312	C01B
1313	B09B
