	application_citation_id	patent_id
245	2010/0236242	8006446
246	2009/0090277	8006446
247	2010/0230830	8006446
248	2005/0036932	8006446
249	2008/0270272	8006446
250	2010/0290967	8006446
251	2011/0059000	8006446
252	2005/0031515	8006446
253	2004/0014845	8006446
254	2006/0195002	8006446
255	2004/0028963	8006446
256	2010/0144521	8006446
257	2009/0010827	8006446
258	2010/0200419	8006446
259	2008/0099122	8006446
260	2002/0127474	8006446
261	2011/0067605	8006446
262	2010/0158786	8006446
263	2007/0045125	8006446
264	2011/0042230	8006446
265	2010/0313793	8006446
266	2010/0024686	8006446
267	2010/0230293	8006446
268	2008/0275149	8006446
269	2011/0091955	8006446
270	2007/0233616	8006446
271	2006/0288912	8006446
272	2010/0051859	8006446
273	2010/0140103	8006446
274	2011/0035154	8006446
275	2004/0111968	8006446
276	2007/0163443	8006446
277	2008/0248350	8006446
278	2004/0213705	8006446
279	2007/0184394	8006446
280	2008/0059206	8006446
281	2008/0171158	8006446
282	2005/0136310	8006446
283	2010/0077691	8006446
284	2009/0214408	8006446
285	2006/0039853	8006446
286	2004/0259231	8006446
287	2007/0186820	8006446
288	2009/0081112	8006446
289	2010/0135882	8006446
290	2010/0326328	8006446
291	2001/0022952	8006446
292	2004/0040715	8006446
293	2010/0196104	8006446
294	2011/0030586	8006446
295	2003/0027023	8006446
296	2005/0255174	8006446
297	2010/0155258	8006446
298	2006/0286011	8006446
299	2008/0233029	8006446
300	2011/0079515	8006446
301	2010/0319586	8006446
302	2003/0123930	8006446
303	2010/0084280	8006446
304	2004/0231568	8006446
305	2007/0092427	8006446
306	2006/0249380	8006446
307	2001/0054253	8006446
308	2008/0276553	8006446
309	2009/0186244	8006446
310	2009/0148238	8006446
311	2003/0188668	8006446
312	2004/0224214	8006446
313	2010/0132556	8006446
314	2005/0118081	8006446
315	2011/0054084	8006446
316	2009/0081096	8006446
317	2010/0229725	8006446
318	2005/0031522	8006446
319	2005/0002847	8006446
320	2010/0068109	8006446
321	2011/0083968	8006446
322	2005/0087496	8006446
323	2008/0245274	8006446
324	2004/0267077	8006446
325	2005/0154669	8006446
326	2010/0135865	8006446
327	2007/0212584	8006446
328	2006/0048517	8006446
329	2010/0132591	8006446
330	2007/0261947	8006446
331	2006/0173169	8006446
332	2009/0143211	8006446
333	2005/0252215	8006446
334	2004/0139891	8006446
335	2008/0104858	8006446
336	2010/0219373	8006446
337	2008/0035036	8006446
338	2004/0126293	8006446
339	2011/0071309	8006446
340	2010/0077922	8006446
341	2002/0151017	8006446
342	2011/0036728	8006446
343	2005/0011770	8006446
344	2006/0185985	8006446
345	2005/0129606	8006446
346	2004/0151957	8006446
347	2005/0232856	8006446
348	2009/0107038	8006446
349	2008/0277319	8006446
350	2001/0023655	8006446
351	2003/0017088	8006446
352	2007/0187247	8006446
353	2005/0238563	8006446
354	2009/0232861	8006446
355	2006/0184445	8006446
356	2010/0150802	8006446
357	2009/0101008	8006446
358	2009/0120644	8006446
359	2003/0229572	8006446
360	2004/0219090	8006446
361	2007/0240570	8006446
362	2010/0313794	8006446
363	2010/0326326	8006446
364	2007/0148509	8006446
365	2009/0169452	8006446
366	2008/0112868	8006446
367	2004/0052865	8006446
368	2010/0000444	8006446
369	2005/0180910	8006446
370	2002/0155103	8006446
371	2006/0051274	8006446
372	2009/0043687	8006446
373	2010/0037653	8006446
374	2007/0099038	8006446
375	2011/0132234	8006446
376	2010/0239467	8006446
377	2007/0266632	8006446
378	2008/0245660	8006446
379	2003/0126899	8006446
380	2009/0020044	8006446
381	2009/0202410	8006446
382	2007/0202032	8006446
383	2006/0189837	8006446
384	2006/0057036	8006446
385	2006/0196836	8006446
386	2010/0224503	8006446
387	2006/0165583	8006446
388	2006/0169593	8006446
389	2007/0251393	8006446
390	2008/0031801	8006446
391	2008/0178739	8006446
392	2010/0063902	8006446
393	2011/0030957	8006446
394	2008/0138265	8006446
395	2010/0276299	8006446
396	2006/0105082	8006446
397	2007/0217981	8006446
398	2011/0091366	8006446
399	2008/0213146	8006446
400	2011/0067600	8006446
401	2010/0043673	8006446
402	2004/0040671	8006446
403	2004/0228788	8006446
404	2008/0289495	8006446
405	2010/0239487	8006446
406	2009/0294366	8006446
407	2009/0211811	8002502
408	2008/0083565	8002502
409	2003/0221870	8002502
410	2009/0065255	8002502
411	2006/0191719	8002502
412	2006/0240368	7959376
413	2004/0040671	7959376
414	2006/0240369	7959376
415	2002/0117445	7879593
416	2008/0035539	7874462
417	2005/0109703	7862700
418	2003/0201235	7862700
419	2006/0060532	7862700
420	2002/0092769	7862700
421	2003/0098266	7862700
422	2001/0003329	7862700
423	2003/0155243	7862700
424	2004/0089551	7862700
425	2004/0079700	7862700
426	2002/0189951	7862700
427	2003/0089609	7862700
428	2006/0231403	7862700
429	2003/0080467	7862700
430	2003/0143026	7850402
431	2002/0179453	7837882
432	2009/0071844	7837882
433	2002/0017463	7837882
434	2004/0084326	7837882
435	2001/0004063	7837882
436	2005/0072164	7828938
437	2003/0230534	7828938
438	2005/0103643	7828938
439	2004/0144728	7828976
440	2004/0055245	7810292
441	2002/0174954	7810292
442	2003/0037499	7810292
443	2004/0231259	7810292
444	2004/0035069	7810292
445	2004/0003558	7810292
446	2003/0230035	7810292
447	2005/0138876	7810292
448	2003/0027877	7807727
449	2003/0145527	7770333
450	2004/0068156	7736291
451	2004/0024281	7736291
452	2006/0036124	7736291
453	2007/0225541	7736291
454	2003/0143031	7736291
455	2005/0049449	7736291
456	2006/0178548	7736291
457	2004/0116766	7736291
458	2006/0189837	7736291
459	2005/0209497	7736291
460	2004/0091549	7736291
461	2004/0034267	7736291
462	2004/0024283	7736291
463	2004/0006253	7736291
464	2004/0015036	7736291
465	2004/0018130	7736291
466	2005/0215841	7736291
467	2005/0209496	7736291
468	2005/0040107	7727395
469	2003/0033430	7727395
470	2003/0075501	7727395
471	2004/0173522	7674378
472	2003/0024874	7674378
473	2003/0047509	7674378
474	2005/0155380	7669438
475	2006/0254590	7669438
476	2003/0185735	7669438
477	2006/0254586	7669438
478	2006/0254587	7669438
479	2002/0066568	7662290
480	2004/0020415	7648615
481	2002/0098042	7645097
482	2005/0081459	7645097
483	2005/0145548	7635434
484	2005/0025574	7597811
485	2005/0022989	7591309
486	2003/0127226	7591309
487	2006/0273008	7588686
488	2004/0238443	7588686
489	2004/0144019	7582269
490	2002/0092769	7563351
491	2003/0080467	7563351
492	2001/0003329	7563351
493	2005/0109703	7563351
494	2004/0089551	7563351
495	2006/0231403	7563351
496	2003/0201235	7563351
497	2004/0079700	7563351
498	2003/0155243	7563351
499	2003/0089609	7563351
500	2003/0098266	7563351
501	2006/0060532	7563351
502	2002/0189951	7563351
503	2005/0279716	7520993
504	2007/0083398	7520993
505	2008/0135478	7520993
506	2005/0244313	7520993
507	2005/0051488	7520993
508	2005/0194323	7520993
509	2004/0035802	7520993
510	2004/0181112	7497645
511	2002/0133983	7497645
512	2005/0045556	7497645
513	2005/0145548	7494586
514	2002/0079266	7410583
515	2002/0148778	7410583
516	2004/0082828	7399141
517	2003/0118404	7309188
518	2001/0002497	7309188
519	2003/0199217	7309188
520	2003/0215287	7309188
521	2003/0223826	7309188
522	2004/0022583	7309188
523	2002/0003314	7255333
524	2004/0082828	7255514
525	2003/0082084	7255793
526	2003/0116887	7232482
527	2005/0045557	7198717
528	2002/0113024	7186345
529	2002/0179453	7160472
530	2002/0076370	7160472
531	2004/0028590	7160472
532	2002/0036175	7160472
533	2004/0108203	7160472
534	2002/0170864	7153439
535	2001/0025811	7153439
536	2002/0139748	7122121
537	2001/0027951	7122121
538	2004/0188339	7122121
539	2003/0070460	7070693
540	2002/0185456	7070693
541	2002/0162795	7070693
542	2003/0136165	7070693
543	2002/0127317	7070693
544	2002/0164405	7070693
545	2004/0038089	7036314
546	2002/0096472	7022240
547	2002/0056688	7022240
548	2002/0030001	7022240
549	2001/0049403	7022240
550	2002/0022059	7022240
551	2002/0040874	7022240
552	2002/0007953	7022240
553	2002/0057945	8632273
554	2002/0114669	8529153
555	2004/0018055	8529153
556	2011/0049896	8500364
557	2005/0285407	8500364
558	2011/0033242	8496404
559	2004/0098937	8496404
560	2005/0260040	8425155
561	2008/0193217	8292541
562	2006/0133897	8251611
563	2004/0047688	8251611
564	2004/0022973	8251611
565	2006/0280557	8251611
566	2007/0166106	8251611
