patent	us_class
352	405/128.2
353	428/402
353	428/406
353	065/017.6
353	065/020
353	065/022
354	210/175
354	210/251
354	210/257.2
355	210/773
355	241/020
355	241/015
355	422/001
355	241/038
356	405/237
356	405/243
356	405/242
356	405/233
357	210/202
357	210/252
357	210/532.1
357	210/610
358	405/128.15
358	405/128.1
359	134/042
360	210/761
360	210/765
361	210/605
362	405/129.85
363	405/129.1
364	405/129.1
365	588/256
366	210/748
366	210/192
366	210/259
366	588/303
366	588/405
366	204/554
366	204/660
367	405/129.9
367	210/758
368	210/617
368	210/694
368	210/670
368	210/678
368	210/748
368	210/265
368	210/275
369	210/800
369	210/532.1
369	210/921
370	210/748
371	210/723
371	210/209
372	405/267
373	405/302.6
374	128/205.12
375	210/609
375	210/623
375	210/617
375	210/631
376	405/302.7
377	210/617
377	210/150
378	210/321.67
378	210/321.68
378	210/321.69
378	210/636
378	210/650
378	210/500.23
378	210/321.75
378	210/323.2
378	210/321.8
378	210/321.84
378	210/321.89
379	210/637
379	210/650
379	210/652
379	210/321.66
379	210/170
379	210/747
379	210/257.2
379	210/258
379	166/267
379	166/357
380	588/256
380	588/413
381	588/256
382	210/601
382	210/173
382	210/603
382	210/920
383	156/308.4
383	156/071
383	052/169.7
384	405/258.1
385	210/617
385	210/747
385	210/150
385	210/151
385	210/170
385	210/532.2
386	204/252
386	204/242
386	204/263
387	405/237
387	405/232
387	405/233
388	210/609
388	210/615
388	210/616
388	210/617
388	210/631
389	405/128.7
390	241/021
390	241/073
391	422/021
391	219/678
392	588/256
393	210/609
393	210/610
393	210/617
393	210/623
393	210/631
394	210/631
395	405/258.1
395	405/271
395	405/269
396	210/620
396	210/625
396	210/629
396	210/150
396	210/220
397	106/772
398	210/640
398	210/747
398	210/242.1
399	210/760
399	210/769
399	210/205
399	210/257.1
400	060/645
400	060/648
400	060/655
400	060/670
400	429/013
400	429/017
400	429/026
401	220/004.07
402	210/109
402	210/418
402	210/087
402	210/435
403	210/712
403	175/066
403	210/724
403	210/738
403	210/747
403	210/804
403	210/806
404	210/724
405	405/258.1
406	405/285
406	405/272
407	210/695
407	210/222
407	210/804
408	435/286.5
408	435/297.2
408	435/298.1
409	588/312
409	588/412
410	210/631
410	210/650
410	210/259
411	588/256
412	210/087
412	210/091
412	210/094
412	210/138
412	210/449
413	210/722
413	210/219
413	210/220
414	588/256
415	210/195.1
415	210/202
415	210/220
416	588/252
416	588/256
416	588/260
417	210/739
417	210/757
417	210/758
418	210/691
418	210/747
418	210/163
418	210/282
419	424/661
419	210/756
420	210/695
420	210/723
420	210/705
420	210/711
420	210/713
420	210/714
420	210/725
420	210/727
421	405/015
421	405/036
421	405/207
421	405/302.6
422	588/256
423	423/322
423	210/710
423	210/908
424	428/138
425	052/782.1
426	435/262.5
427	588/252
428	210/617
428	210/151
429	588/252
430	588/252
431	210/695
431	208/113
431	423/150.2
431	210/806
431	210/780
432	210/767
432	210/488
432	210/503
433	405/258.1
433	405/229
434	210/220
435	264/263
435	264/268
435	264/271.1
435	264/279.1
435	264/320
435	264/333
436	205/688
436	204/242
437	405/129.95
438	205/688
438	205/696
439	210/764
439	210/743
440	210/723
440	210/739
441	210/173
441	210/181
441	210/182
441	210/199
441	210/202
441	210/205
441	210/257.1
441	210/258
441	210/519
442	210/602
442	210/603
442	210/629
442	119/204
442	210/169
443	210/639
443	210/749
443	210/752
443	095/263
443	210/806
444	425/435
444	264/308
444	264/311
444	052/292
445	516/010
445	588/313
446	435/134
446	554/008
446	044/385
447	204/533
447	204/536
447	204/632
448	205/688
448	205/703
449	205/751
450	210/321.69
450	210/321.89
450	210/500.23
450	210/388
451	210/620
451	210/532.2
451	405/129.2
451	405/129.25
451	405/129.27
451	405/129.28
452	096/108
453	210/728
454	210/749
455	405/302.7
455	405/184.2
456	047/001.1T
456	405/016
457	588/256
458	210/744
458	210/791
458	210/123
458	210/282
459	264/162
459	524/068
459	524/439
459	524/442
459	264/349
459	264/320
459	264/322
459	156/094
459	106/287.35
460	204/242
460	204/267
461	210/097
461	210/136
461	210/143
461	210/187
461	210/248
461	210/256
461	210/257.1
461	210/305
461	210/312
461	210/320
461	210/521
461	210/532.1
461	210/533
461	210/540
462	210/194
463	203/001
463	202/206
463	202/205
463	202/196
463	202/267.1
463	202/265
463	202/269
463	203/010
463	202/098
463	203/DIG.18
464	029/426.5
464	029/700
465	241/065
465	241/236
466	428/002
467	205/701
467	205/770
467	205/746
467	205/703
467	204/252
467	204/275.1
468	210/683
469	588/250
470	100/038
471	209/215
471	209/643
471	209/133
472	423/322
473	205/688
473	205/698
474	210/626
474	210/195.3
475	210/759
476	210/620
477	405/302.7
477	428/357
477	405/302.6
478	210/621
478	210/629
478	210/170
479	405/267
479	405/270
479	405/258.1
480	210/607
480	210/621
480	210/629
480	210/220
480	210/623
480	210/744
481	435/003
481	435/262
482	048/127.3
482	048/127.9
482	435/166
482	435/290.4
482	435/300.1
483	241/062
484	252/070
485	600/395
486	034/443
487	210/721
488	210/660
489	285/423
489	285/903
489	024/016.PB
490	210/702
490	210/205
490	210/241
491	210/748
492	210/759
493	261/122.1
494	405/128.5
494	588/256
494	405/129.3
494	210/747
495	502/400
496	524/414
496	106/287.29
496	106/287.1
496	106/287.32
496	588/231
496	588/236
496	588/252
496	588/255
496	588/256
496	588/901
497	047/058.1SC
498	238/084
499	428/034.1
500	083/178
500	156/095
501	175/057
501	405/231
501	405/240
502	203/001
502	203/010
502	203/002
502	203/022
502	203/024
502	203/026
502	203/040
502	203/DIG.8
502	202/160
502	202/197
502	202/176
503	210/603
503	210/631
503	210/188
503	210/192
504	210/615
505	210/220
505	210/241
505	210/532.2
505	210/291
506	405/302.6
506	405/302.7
507	210/097
508	210/602
508	210/615
508	210/747
509	588/256
510	210/149
510	210/172
510	210/418
511	210/721
511	261/120
511	210/220
511	210/198.1
512	405/229
512	404/028
512	404/031
512	405/016
512	405/025
512	405/030
512	405/032
512	405/107
512	405/258.1
512	405/302.4
512	405/302.6
512	052/DIG.9
513	210/626
513	210/197
513	210/195.3
514	405/129.57
514	405/129.85
515	588/252
515	405/129.27
516	052/020
516	404/025
516	220/220
517	166/302
518	429/012
519	210/695
519	210/223
519	210/243
519	210/748
520	435/290.1
521	166/245
522	210/610
523	405/075
523	405/195.1
523	405/303
524	422/261
525	202/185.1
525	202/196
525	202/205
526	210/163
526	210/541
527	210/709
527	210/726
527	210/205
528	210/617
528	210/151
529	210/722
529	210/220
530	405/061
530	405/217
531	405/302.4
531	405/302.7
532	210/640
532	644/649
532	644/321.75
532	644/175
532	095/043
532	095/045
532	096/004
532	096/006
533	205/626
533	204/278
534	106/724
534	106/725
534	106/640
534	106/643
534	588/003
535	166/302
536	210/620
537	166/053
537	702/012
538	210/605
538	210/631
539	166/057
540	166/064
541	166/263
542	166/300
543	210/718
543	210/724
543	210/750
543	210/903
543	210/906
544	405/270
544	405/129.95
544	405/302.7
545	166/250.12
546	435/262
546	435/262.5
546	210/610
547	166/302
548	405/129.25
548	588/249
548	405/129.95
549	210/650
549	210/321.79
549	210/321.8
549	210/416.1
550	210/620
550	210/758
550	210/759
550	210/763
550	210/908
550	588/001
550	525/061
550	528/480
551	166/066.5
552	210/743
552	210/757
552	210/758
552	210/804
552	210/259
552	210/202
552	210/206
552	210/096.1
553	435/262
553	588/205
553	435/290.1
554	210/626
555	405/229
555	405/270
555	405/271
556	405/284
557	052/020
557	052/079.1
557	052/136
557	405/041
557	405/136
558	203/011
558	203/024
558	203/026
558	203/001
558	203/023
558	203/DIG.17
558	203/DIG.25
558	202/182
558	202/172
558	202/205
558	159/024.1
558	159/044
558	159/DIG.16
559	166/303
559	166/265
560	210/169
561	029/426.4
562	552/625
562	210/656
563	210/624
563	210/626
563	210/195.4
563	210/256
563	210/262
563	210/197
564	210/163
564	210/170
565	134/001
565	134/007
565	134/010
565	134/111
565	134/184
565	134/201
565	451/036
565	451/104
566	210/739
566	700/121
566	705/007
566	210/749
566	700/266
566	700/273
567	210/257.1
568	422/186.21
568	422/186.22
568	422/186.23
568	422/186.26
568	422/186.27
568	204/164
568	204/165
568	204/168
569	210/718
569	210/724
569	210/727
570	264/141
570	264/918
570	264/920
571	435/262.5
571	435/264
571	071/011
572	405/129.95
572	405/129.2
572	405/128.25
573	405/229
573	405/302.6
573	052/DIG.9
574	210/799
575	588/253
576	210/610
576	210/149
576	210/205
577	210/638
577	210/651
577	210/758
577	210/763
578	210/691
579	210/620
580	062/532
581	106/772
581	106/038.9
582	210/620
583	210/768
584	110/345
584	588/205
585	405/129.75
585	210/170
586	210/742
587	241/021
587	241/101.2
588	166/305.1
588	405/129.15
588	405/053
589	241/099
589	241/606
590	501/072
590	501/066
591	800/295
591	800/320
592	060/775
592	060/039.55
593	210/621
593	210/626
594	405/129.95
594	405/129.27
594	405/129.25
594	405/129.28
594	210/602
595	210/620
596	210/620
597	210/634
597	210/639
597	210/670
597	210/676
597	210/677
597	210/774
598	422/245.1
599	700/090
599	700/097
599	705/007
599	345/965
600	210/609
601	210/620
602	210/620
603	210/151
604	037/307
605	702/030
605	700/266
605	705/001
606	037/317
606	707/517
606	707/530
607	210/602
608	210/739
608	210/650
608	210/660
608	210/702
608	210/748
609	205/626
609	204/252
610	210/620
610	210/170
611	210/636
611	210/639
611	210/641
611	210/651
611	210/721
611	210/722
611	210/724
611	210/760
611	210/806
612	210/739
612	210/808
612	210/170
612	210/097
613	210/151
613	210/121
613	210/170
613	210/206
613	210/207
613	210/220
613	210/260
613	210/532.2
613	137/576
614	210/605
615	210/656
615	210/198.2
616	062/188
616	062/093
617	588/256
617	588/236
617	405/128.75
618	277/314
619	210/605
619	210/615
619	210/616
619	210/621
619	210/626
619	210/903
619	210/151
620	062/291
620	062/093
621	210/151
621	210/096.1
621	210/097
621	210/199
621	210/220
621	210/610
621	210/621
622	210/631
622	210/705
622	210/709
622	210/724
622	210/743
622	210/195.1
622	210/712
622	210/199
622	210/202
623	423/483
623	423/490
623	423/158
624	210/163
625	210/198.1
625	210/117
626	052/582.1
626	052/583.1
