	patent_id	grant_citation_id
0	8628627	6553768
1	8628627	3938972
2	8628627	4065322
3	8628627	5018355
4	8628627	7018965
5	8628627	6484508
6	8628627	4196020
7	8628627	4557740
8	8628627	6478033
9	8628627	2760597
10	8628627	3335916
11	8628627	4834912
12	8628627	4543108
13	8628627	4059123
14	8628627	2878892
15	8628627	4300918
16	8628627	5318254
17	8628627	7065955
18	8628627	5725611
19	8628627	5268011
20	8628627	5011540
21	8628627	3766719
22	8628627	4975101
23	8628627	4713120
24	8628627	4802901
25	8628627	6080225
26	8628627	6503334
27	8628627	3564820
28	8628627	6017377
29	8628627	6675437
30	8628627	5868860
31	8628627	6565758
32	8628627	3527030
33	8628627	7185663
34	8628627	7297260
35	8628627	6310022
36	8628627	5507306
37	8628627	6470668
38	8628627	5137555
39	8628627	7150431
40	8628627	7198052
41	8628627	5490646
42	8628627	4530707
43	8628627	3481544
44	8628627	4462192
45	8628627	5972062
46	8628627	5464459
47	8628627	5899217
48	8628627	4158449
49	8628627	1926924
50	8628627	4439241
51	8628627	3616623
52	8628627	1834534
53	8628627	4234323
54	8628627	6964669
55	8628627	5269823
56	8628627	4225188
57	8617400	7001525
58	8617400	5840195
59	8617400	7648637
60	8617400	6919031
61	8617400	7311841
62	8617400	6645386
63	8617400	7648638
64	8617400	6010631
65	8617400	6277285
66	8617400	4927543
67	8617400	5730864
68	8617400	6824692
69	8596928	5029804
70	8596928	6817811
71	8596928	5658096
72	8596928	4725216
73	8596928	7048472
74	8596928	4564316
75	8598405	5124416
76	8598405	6228930
77	8598405	5244735
78	8598405	4093776
79	8598405	5250640
80	8598405	4683274
81	8598405	6562879
82	8598405	6071976
83	8598405	6410616
84	8598405	32649
85	8598405	4286082
86	8598405	8063265
87	8598405	4625001
88	8598405	4367323
89	8598405	4732968
90	8598405	5981070
91	8598405	4446261
92	8598405	5145906
93	8598405	4985518
94	8598405	5380808
95	8598405	5264495
96	8598405	5866678
97	8598405	6254990
98	8598405	4873299
99	8598405	5051259
100	8598405	4973632
101	8567743	6336620
102	8567743	4429497
103	8567743	6324800
104	8567743	3514911
105	8567743	5505033
106	8567743	5568909
107	8567743	6513291
108	8567743	6729089
109	8551341	6132600
110	8551341	4495056
111	8551341	7172701
112	8551341	4749492
113	8551341	5192442
114	8551341	7252766
115	8551341	4221695
116	8551341	4563277
117	8551341	4919815
118	8551341	4265747
119	8551341	6048459
120	8551341	7722768
121	8551341	4810386
122	8551341	4623464
123	8551341	5302288
124	8551341	6863818
125	8551341	4778598
126	8551341	3966599
127	8551341	6982037
128	8551341	4371454
129	8551341	6290852
130	8551341	5200081
131	8551341	6773598
132	8551341	5560819
133	8551341	6077424
134	8551341	4656153
135	8551341	6280625
136	8551341	5202027
137	8551341	4897196
138	8551341	8137557
139	8551341	5126050
140	8551341	7678268
141	8551341	7396453
142	8551341	7972512
143	8551341	6544421
144	8551341	5505841
145	8551341	6007712
146	8551341	4626354
147	8551341	5486292
