	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195
236																																																																																																																																																																																																				
237																																																																																																																																																																																																				
238																																																																																																																																																																																																				
239																																																																																																																																																																																																				
240																																																																																																																																																																																																				
241																																																																																																																																																																																																				
242																																																																																																																																																																																																				
243																																																																																																																																																																																																				
244																																																																																																																																																																																																				
245																																																																																																																																																																																																				
246																																																																																																																																																																																																				
247																																																																																																																																																																																																				
248																																																																																																																																																																																																				
249																																																																																																																																																																																																				
250																																																																																																																																																																																																				
251																																																																																																																																																																																																				
252																																																																																																																																																																																																				
253																																																																																																																																																																																																				
254																																																																																																																																																																																																				
255																																																																																																																																																																																																				
256																																																																																																																																																																																																				
257																																																																																																																																																																																																				
258																																																																																																																																																																																																				
259																																																																																																																																																																																																				
260																																																																																																																																																																																																				
261																																																																																																																																																																																																				
262																																																																																																																																																																																																				
263																																																																																																																																																																																																				
264																																																																																																																																																																																																				
265																																																																																																																																																																																																				
266																																																																																																																																																																																																				
267																																																																																																																																																																																																				
268																																																																																																																																																																																																				
269																																																																																																																																																																																																				
270																																																																																																																																																																																																				
271																																																																																																																																																																																																				
272																																																																																																																																																																																																				
273																																																																																																																																																																																																				
274																																																																																																																																																																																																				
275																																																																																																																																																																																																				
276																																																																																																																																																																																																				
277																																																																																																																																																																																																				
278																																																																																																																																																																																																				
279																																																																																																																																																																																																				
280																																																																																																																																																																																																				
281																																																																																																																																																																																																				
282																																																																																																																																																																																																				
283																																																																																																																																																																																																				
284																																																																																																																																																																																																				
285																																																																																																																																																																																																				
286																																																																																																																																																																																																				
287																																																																																																																																																																																																				
288																																																																																																																																																																																																				
289																																																																																																																																																																																																				
290																																																																																																																																																																																																				
291																																																																																																																																																																																																				
292																																																																																																																																																																																																				
293																																																																																																																																																																																																				
294																																																																																																																																																																																																				
295																																																																																																																																																																																																				
296																																																																																																																																																																																																				
297																																																																																																																																																																																																				
298																																																																																																																																																																																																				
299																																																																																																																																																																																																				
300																																																																																																																																																																																																				
301																																																																																																																																																																																																				
302																																																																																																																																																																																																				
303																																																																																																																																																																																																				
304																																																																																																																																																																																																				
305																																																																																																																																																																																																				
306																																																																																																																																																																																																				
307																																																																																																																																																																																																				
308																																																																																																																																																																																																				
309	('8568129', '2001/0052654')	('8568129', '2010/0007051')	('8568129', '2003/0160347')	('8568129', '2003/0006521')																																																																																																																																																																																																
310	('8523554', '2009/0206522')	('8523554', '2002/0079601')	('8523554', '2005/0280185')	('8523554', '2010/0247742')	('8523554', '2006/0204603')	('8523554', '2004/0118309')	('8523554', '2011/0215117')																																																																																																																																																																																													
311																																																																																																																																																																																																				
312	('8464482', '2006/0201082')	('8464482', '2007/0271868')	('8464482', '2005/0257481')	('8464482', '2004/0141814')	('8464482', '2007/0056235')	('8464482', '2004/0020155')	('8464482', '2008/0256894')	('8464482', '2001/0000370')	('8464482', '2005/0086881')																																																																																																																																																																																											
313	('8425145', '2010/0071804')	('8425145', '2007/0116518')	('8425145', '2005/0249872')																																																																																																																																																																																																	
314																																																																																																																																																																																																				
315																																																																																																																																																																																																				
316																																																																																																																																																																																																				
317																																																																																																																																																																																																				
318	('8256988', '2002/0132539')	('8256988', '2004/0011881')	('8256988', '2003/0190191')	('8256988', '2003/0072615')	('8256988', '2003/0022134')	('8256988', '2004/0018055')	('8256988', '2002/0114669')																																																																																																																																																																																													
319	('8218852', '2004/0182492')	('8218852', '2004/0151365')	('8218852', '2003/0052890')																																																																																																																																																																																																	
320	('8137537', '2004/0035769')																																																																																																																																																																																																			
321																																																																																																																																																																																																				
322	('8070390', '2006/0245832')	('8070390', '2003/0085482')																																																																																																																																																																																																		
323	('8070395', '2002/0152696')	('8070395', '2002/0044842')	('8070395', '2007/0031192')	('8070395', '2008/0015531')	('8070395', '2003/0178194')	('8070395', '2007/0292314')	('8070395', '2007/0098500')	('8070395', '2001/0002497')																																																																																																																																																																																												
324	('8070960', '2007/0215533')	('8070960', '2009/0314715')	('8070960', '2006/0011561')	('8070960', '2005/0167373')	('8070960', '2007/0034578')	('8070960', '2008/0078726')	('8070960', '2006/0102565')																																																																																																																																																																																													
325																																																																																																																																																																																																				
326	('7955030', '2002/0020658')	('7955030', '2003/0095833')	('7955030', '2006/0133897')	('7955030', '2003/0143026')																																																																																																																																																																																																
327																																																																																																																																																																																																				
328	('7897047', '2005/0102921')	('7897047', '2008/0073277')	('7897047', '2008/0197073')	('7897047', '2007/0094927')	('7897047', '2006/0070299')																																																																																																																																																																																															
329																																																																																																																																																																																																				
330	('7874767', '2007/0098500')	('7874767', '2002/0044842')	('7874767', '2007/0292314')	('7874767', '2003/0178194')	('7874767', '2008/0015531')	('7874767', '2007/0031192')																																																																																																																																																																																														
331	('7833400', '2002/0167782')	('7833400', '2004/0012913')																																																																																																																																																																																																		
332																																																																																																																																																																																																				
333																																																																																																																																																																																																				
334	('7771187', '2002/0157355')																																																																																																																																																																																																			
335																																																																																																																																																																																																				
336																																																																																																																																																																																																				
337																																																																																																																																																																																																				
338																																																																																																																																																																																																				
339	('7645095', '2004/0068156')																																																																																																																																																																																																			
340																																																																																																																																																																																																				
341																																																																																																																																																																																																				
342	('7585410', '2006/0283977')																																																																																																																																																																																																			
343																																																																																																																																																																																																				
344	('7549232', '2006/0185197')	('7549232', '2005/0116380')	('7549232', '2003/0046831')	('7549232', '2006/0123663')	('7549232', '2006/0121268')	('7549232', '2006/0070260')	('7549232', '2003/0172548')	('7549232', '2004/0078998')	('7549232', '2005/0252039')	('7549232', '2004/0181971')	('7549232', '2007/0039205')	('7549232', '2004/0194344')	('7549232', '2002/0007569')	('7549232', '2003/0041481')																																																																																																																																																																																						
345	('7524466', '2002/0060175')																																																																																																																																																																																																			
346																																																																																																																																																																																																				
347																																																																																																																																																																																																				
348	('7377760', '2001/0006689')	('7377760', '2005/0073066')																																																																																																																																																																																																		
349	('7374062', '2004/0169041')																																																																																																																																																																																																			
350	('7374691', '2004/0256297')																																																																																																																																																																																																			
351	('7335298', '2004/0173520')																																																																																																																																																																																																			
352	('7306405', '2003/0123937')																																																																																																																																																																																																			
353	('7300229', '2003/0085482')																																																																																																																																																																																																			
354	('7226240', '2002/0146394')																																																																																																																																																																																																			
355	('7163354', '2003/0230867')	('7163354', '2004/0081514')	('7163354', '2003/0230904')	('7163354', '2002/0114667')	('7163354', '2004/0114999')	('7163354', '2004/0033107')	('7163354', '2004/0012244')																																																																																																																																																																																													
356																																																																																																																																																																																																				
357																																																																																																																																																																																																				
358																																																																																																																																																																																																				
359																																																																																																																																																																																																				
360																																																																																																																																																																																																				
361	('7080480', '2001/0045383')	('7080480', '2003/0082359')	('7080480', '2004/0076473')	('7080480', '2002/0179509')																																																																																																																																																																																																
362	('7021869', '2003/0031511')																																																																																																																																																																																																			
363	('7014755', '2002/0113025')	('7014755', '2003/0098267')	('7014755', '2003/0047497')	('7014755', '2002/0071722')	('7014755', '2003/0132150')	('7014755', '2003/0173277')	('7014755', '2003/0029802')																																																																																																																																																																																													
364	('6986226', '2002/0098038')	('6986226', '2004/0120762')																																																																																																																																																																																																		
365	('6961251', '2004/0085790')																																																																																																																																																																																																			
366																																																																																																																																																																																																				
367																																																																																																																																																																																																				
368	('6905289', '2003/0031511')																																																																																																																																																																																																			
369																																																																																																																																																																																																				
370																																																																																																																																																																																																				
371																																																																																																																																																																																																				
372																																																																																																																																																																																																				
373																																																																																																																																																																																																				
374																																																																																																																																																																																																				
375																																																																																																																																																																																																				
376																																																																																																																																																																																																				
377																																																																																																																																																																																																				
378																																																																																																																																																																																																				
379																																																																																																																																																																																																				
380																																																																																																																																																																																																				
381																																																																																																																																																																																																				
382																																																																																																																																																																																																				
383																																																																																																																																																																																																				
384																																																																																																																																																																																																				
385																																																																																																																																																																																																				
386																																																																																																																																																																																																				
387																																																																																																																																																																																																				
388																																																																																																																																																																																																				
389																																																																																																																																																																																																				
390																																																																																																																																																																																																				
391																																																																																																																																																																																																				
392																																																																																																																																																																																																				
393																																																																																																																																																																																																				
394																																																																																																																																																																																																				
395	('8580122', '2006/0043025')																																																																																																																																																																																																			
396																																																																																																																																																																																																				
397	('8440154', '2010/0224480')	('8440154', '2008/0179178')	('8440154', '2010/0200515')	('8440154', '2004/0195088')	('8440154', '2010/0023377')	('8440154', '2003/0230537')																																																																																																																																																																																														
398																																																																																																																																																																																																				
399	('8398335', '2007/0062701')																																																																																																																																																																																																			
400	('8382075', '2008/0213137')	('8382075', '2002/0069838')	('8382075', '2004/0213721')	('8382075', '2007/0251650')	('8382075', '2002/0158024')	('8382075', '2005/0074712')	('8382075', '2004/0040671')	('8382075', '2004/0045681')																																																																																																																																																																																												
401	('8202500', '2010/0224480')	('8202500', '2010/0023377')	('8202500', '2003/0230537')	('8202500', '2008/0179178')	('8202500', '2004/0195088')	('8202500', '2010/0200515')																																																																																																																																																																																														
402	('8100996', '2004/0034111')	('8100996', '2007/0244000')	('8100996', '2002/0192118')	('8100996', '2004/0229752')	('8100996', '2004/0180971')	('8100996', '2005/0165121')	('8100996', '2006/0036106')	('8100996', '2005/0163701')	('8100996', '2005/0282918')	('8100996', '2006/0142400')	('8100996', '2007/0004810')	('8100996', '2005/0176832')	('8100996', '2004/0188326')	('8100996', '2007/0197808')	('8100996', '2006/0041029')	('8100996', '2011/0147665')	('8100996', '2002/0028164')	('8100996', '2007/0197801')	('8100996', '2006/0251558')	('8100996', '2006/0135630')	('8100996', '2005/0203195')	('8100996', '2007/0017633')	('8100996', '2006/0251552')	('8100996', '2006/0020155')	('8100996', '2003/0225169')	('8100996', '2003/0007904')	('8100996', '2006/0074134')	('8100996', '2004/0134660')																																																																																																																																																																								
403	('8052349', '2005/0220542')																																																																																																																																																																																																			
404																																																																																																																																																																																																				
405	('7967990', '2006/0043025')																																																																																																																																																																																																			
406	('7959376', '2006/0240368')	('7959376', '2004/0040671')	('7959376', '2006/0240369')																																																																																																																																																																																																	
407	('7866921', '2007/0062701')																																																																																																																																																																																																			
408	('7837883', '2003/0121868')																																																																																																																																																																																																			
409	('7726908', '2004/0191755')	('7726908', '2005/0286978')																																																																																																																																																																																																		
410	('7708892', '2007/0241057')	('7708892', '2006/0264521')	('7708892', '2006/0273014')																																																																																																																																																																																																	
411																																																																																																																																																																																																				
412	('7662290', '2002/0066568')																																																																																																																																																																																																			
413	('7645385', '2002/0117444')	('7645385', '2003/0136731')																																																																																																																																																																																																		
414	('7618547', '2005/0109696')																																																																																																																																																																																																			
415																																																																																																																																																																																																				
416	('7527736', '2004/0031742')	('7527736', '2007/0051513')	('7527736', '2007/0102359')																																																																																																																																																																																																	
417																																																																																																																																																																																																				
418																																																																																																																																																																																																				
419	('7399141', '2004/0082828')																																																																																																																																																																																																			
420																																																																																																																																																																																																				
421	('7255514', '2004/0082828')																																																																																																																																																																																																			
422																																																																																																																																																																																																				
423																																																																																																																																																																																																				
424	('7204660', '2003/0131641')																																																																																																																																																																																																			
425	('7198433', '2005/0201831')	('7198433', '2003/0008381')																																																																																																																																																																																																		
426																																																																																																																																																																																																				
427																																																																																																																																																																																																				
428																																																																																																																																																																																																				
429																																																																																																																																																																																																				
430																																																																																																																																																																																																				
431																																																																																																																																																																																																				
432																																																																																																																																																																																																				
433																																																																																																																																																																																																				
434																																																																																																																																																																																																				
435																																																																																																																																																																																																				
436																																																																																																																																																																																																				
437																																																																																																																																																																																																				
438																																																																																																																																																																																																				
439																																																																																																																																																																																																				
440																																																																																																																																																																																																				
441																																																																																																																																																																																																				
442																																																																																																																																																																																																				
443																																																																																																																																																																																																				
444																																																																																																																																																																																																				
445																																																																																																																																																																																																				
446	('8628658', '2004/0045912')																																																																																																																																																																																																			
447	('8579552', '2004/0076482')																																																																																																																																																																																																			
448	('8535107', '2005/0118122')	('8535107', '2006/0121166')																																																																																																																																																																																																		
449	('8101069', '2008/0283467')	('8101069', '2007/0246424')	('8101069', '2008/0017591')	('8101069', '2008/0229995')																																																																																																																																																																																																
450	('8080164', '2006/0283977')																																																																																																																																																																																																			
451																																																																																																																																																																																																				
452	('8025460', '2007/0217867')																																																																																																																																																																																																			
453																																																																																																																																																																																																				
454	('7914672', '2006/0283977')																																																																																																																																																																																																			
455	('7905684', '2003/0140838')																																																																																																																																																																																																			
456																																																																																																																																																																																																				
457	('7736505', '2007/0086888')																																																																																																																																																																																																			
458	('7704013', '2008/0310919')	('7704013', '2009/0022548')																																																																																																																																																																																																		
459	('7674373', '2006/0283977')																																																																																																																																																																																																			
460	('7658856', '2006/0283977')																																																																																																																																																																																																			
461	('7645378', '2006/0283977')																																																																																																																																																																																																			
462	('7604732', '2006/0283977')																																																																																																																																																																																																			
463	('7601257', '2006/0283977')																																																																																																																																																																																																			
464	('7597799', '2006/0283977')																																																																																																																																																																																																			
465	('7597800', '2006/0283977')																																																																																																																																																																																																			
466	('7585410', '2006/0283977')																																																																																																																																																																																																			
467																																																																																																																																																																																																				
468	('7153423', '2002/0125190')	('7153423', '2002/0060192')																																																																																																																																																																																																		
469	('7104219', '2004/0240943')	('7104219', '2002/0094239')	('7104219', '2005/0002741')	('7104219', '2004/0013473')																																																																																																																																																																																																
470																																																																																																																																																																																																				
471	('7021229', '2002/0104469')	('7021229', '2004/0099192')																																																																																																																																																																																																		
472																																																																																																																																																																																																				
473																																																																																																																																																																																																				
474																																																																																																																																																																																																				
475																																																																																																																																																																																																				
476																																																																																																																																																																																																				
477																																																																																																																																																																																																				
478																																																																																																																																																																																																				
479																																																																																																																																																																																																				
480																																																																																																																																																																																																				
481																																																																																																																																																																																																				
482																																																																																																																																																																																																				
483																																																																																																																																																																																																				
484																																																																																																																																																																																																				
485	('8580122', '2006/0043025')																																																																																																																																																																																																			
486																																																																																																																																																																																																				
487	('8440154', '2010/0224480')	('8440154', '2008/0179178')	('8440154', '2010/0200515')	('8440154', '2004/0195088')	('8440154', '2010/0023377')	('8440154', '2003/0230537')																																																																																																																																																																																														
488																																																																																																																																																																																																				
489	('8398335', '2007/0062701')																																																																																																																																																																																																			
490	('8382075', '2008/0213137')	('8382075', '2002/0069838')	('8382075', '2004/0213721')	('8382075', '2007/0251650')	('8382075', '2002/0158024')	('8382075', '2005/0074712')	('8382075', '2004/0040671')	('8382075', '2004/0045681')																																																																																																																																																																																												
491	('8202500', '2010/0224480')	('8202500', '2010/0023377')	('8202500', '2003/0230537')	('8202500', '2008/0179178')	('8202500', '2004/0195088')	('8202500', '2010/0200515')																																																																																																																																																																																														
492	('8100996', '2004/0034111')	('8100996', '2007/0244000')	('8100996', '2002/0192118')	('8100996', '2004/0229752')	('8100996', '2004/0180971')	('8100996', '2005/0165121')	('8100996', '2006/0036106')	('8100996', '2005/0163701')	('8100996', '2005/0282918')	('8100996', '2006/0142400')	('8100996', '2007/0004810')	('8100996', '2005/0176832')	('8100996', '2004/0188326')	('8100996', '2007/0197808')	('8100996', '2006/0041029')	('8100996', '2011/0147665')	('8100996', '2002/0028164')	('8100996', '2007/0197801')	('8100996', '2006/0251558')	('8100996', '2006/0135630')	('8100996', '2005/0203195')	('8100996', '2007/0017633')	('8100996', '2006/0251552')	('8100996', '2006/0020155')	('8100996', '2003/0225169')	('8100996', '2003/0007904')	('8100996', '2006/0074134')	('8100996', '2004/0134660')																																																																																																																																																																								
493	('8052349', '2005/0220542')																																																																																																																																																																																																			
494																																																																																																																																																																																																				
495	('7967990', '2006/0043025')																																																																																																																																																																																																			
496	('7959376', '2006/0240368')	('7959376', '2004/0040671')	('7959376', '2006/0240369')																																																																																																																																																																																																	
497	('7866921', '2007/0062701')																																																																																																																																																																																																			
498	('7837883', '2003/0121868')																																																																																																																																																																																																			
499	('7726908', '2004/0191755')	('7726908', '2005/0286978')																																																																																																																																																																																																		
500	('7708892', '2007/0241057')	('7708892', '2006/0264521')	('7708892', '2006/0273014')																																																																																																																																																																																																	
501																																																																																																																																																																																																				
502	('7662290', '2002/0066568')																																																																																																																																																																																																			
503	('7645385', '2002/0117444')	('7645385', '2003/0136731')																																																																																																																																																																																																		
504	('7618547', '2005/0109696')																																																																																																																																																																																																			
505																																																																																																																																																																																																				
506	('7527736', '2004/0031742')	('7527736', '2007/0051513')	('7527736', '2007/0102359')																																																																																																																																																																																																	
507																																																																																																																																																																																																				
508																																																																																																																																																																																																				
509	('7399141', '2004/0082828')																																																																																																																																																																																																			
510																																																																																																																																																																																																				
511	('7255514', '2004/0082828')																																																																																																																																																																																																			
512																																																																																																																																																																																																				
513																																																																																																																																																																																																				
514	('7204660', '2003/0131641')																																																																																																																																																																																																			
515	('7198433', '2005/0201831')	('7198433', '2003/0008381')																																																																																																																																																																																																		
516																																																																																																																																																																																																				
517																																																																																																																																																																																																				
518																																																																																																																																																																																																				
519																																																																																																																																																																																																				
520																																																																																																																																																																																																				
521																																																																																																																																																																																																				
522																																																																																																																																																																																																				
523																																																																																																																																																																																																				
524																																																																																																																																																																																																				
525																																																																																																																																																																																																				
526																																																																																																																																																																																																				
527																																																																																																																																																																																																				
528																																																																																																																																																																																																				
529																																																																																																																																																																																																				
530																																																																																																																																																																																																				
531																																																																																																																																																																																																				
532																																																																																																																																																																																																				
533																																																																																																																																																																																																				
534																																																																																																																																																																																																				
535																																																																																																																																																																																																				
