	assignee_id	patent_id
0	2c1b8ecd4869629ffc413d6affb6a1db	8628627
1	ee5d4b6e0da35191a3581004a0d6c408	8617400
2	b9da78a054816544d864450678ea51f1	8598405
3	6ce223cc7c3f4ab4bda29565feb5f05d	8551341
4	1de1f48edfa7c005bc4d831e8962494f	8551341
5	c94452133ac2b61819c6a5231bf0f85e	8535534
6	24c38e067e7eaae5ea3129a856ca2aa6	8523965
7	d1de751bb83e5d1fbd78f7098d943fd6	8486271
8	7c9bb74aad83f3c2a7f0e2ea8edade87	8454838
9	24307027bd76cdef13a60ad483f8f016	8435411
10	49b4345220fb66f7ba11f42549197da9	8430600
11	853d1541d57f5f4401ee317448206f38	8414748
12	98140e6fe6df87cb88e418a69732485f	8382075
13	49b4345220fb66f7ba11f42549197da9	8376657
14	e5c2d357ecc684a9ecf41ba7a61247a6	8370067
15	1458e781e232307439bbf106ef71d1a5	8360689
16	1458e781e232307439bbf106ef71d1a5	8328470
17	ee5d4b6e0da35191a3581004a0d6c408	8318026
18	6059aa5bf6c2cc6ef4029e562014e5d5	8313921
19	abc669b17e8692c1b46d1abb91a63d5a	8302357
20	612e9acca97ed6830a132a7a2ab4017b	8282790
21	d6dab3030c9afae0d42efeefc957b299	8273249
22	6de27d8b31223ece5ad1152e585b70be	8147695
23	020a577da1cda91c6f501cfc1c6b70c3	8114260
24	dbfb683b34a2d47e26f92cb2db0efdd2	8100605
25	5d40570ea1dea1c529893f8049f13a0a	8101082
26	2d4b162ae24e4d9428d3201099ba8b13	8092680
27	98a73155d49c909c63aea11fd8beb91e	8048309
28	e6edd6e8767c0aca15b47dac98155e40	8039081
29	924d8042eee8945ab23d335477357540	8017019
30	072cd25df32f4084566a8fb83360271e	8017019
31	330b03446b46944bbee2e7e32ce3b3b1	8006446
32	8e6290af4b4dfef49757e5d6b95834fb	8002502
33	8c50e53d37d9657545a4152d56a9f17a	7985334
34	98140e6fe6df87cb88e418a69732485f	7959376
35	e462c8feacf5238edb3501eb3e73f2e4	7874462
36	853d1541d57f5f4401ee317448206f38	7871508
37	57f223bd5831e4fb97be74f39cd53163	7862700
38	abdfc8dc05dbffa028c6a0ce7b0d6e30	7837882
39	e9392087a873d8607cede39e8fbb26e6	7828938
40	6de27d8b31223ece5ad1152e585b70be	7828976
41	21e5020bf4de56d7bb4d040df693f49d	7810292
42	d5422869a0b32095fd8261b8c173cd4b	7807727
43	6250a724e7ffe4e591e7d22f00634409	7770333
44	fcc387f54e4f1cf52804abf7724632d4	7754642
45	1950cef4d26d92c8476ff51bbcfecde7	7736512
46	669ab162c254c4a4e9ae8e823e95bd05	7727395
47	0c5d71d7293e54a3f9a6545c50ead8fa	7718069
48	853d1541d57f5f4401ee317448206f38	7691251
49	abed0b7a4ae4e37125b4d74f8df14a20	7674378
50	256cc99f92f179be98a739993e72c9a7	7669438
51	05e5f25bfb3a513d96baf45929695978	7662290
52	bda7386dcdfc9ca62fa622ef9aa143a8	7648615
53	546f170347c7dcb6837d2f57712c1a81	7648615
54	e67e6b67ffdabf3af51e9c60041bc4ca	7648615
55	5bf610e27178b8861a6efb8461b78b61	7648615
56	582ff0a4692edaa0d9a590528e714e16	7645097
57	40b61f407470b2c547378382077ee3c5	7635434
58	853d1541d57f5f4401ee317448206f38	7611620
59	b5b329eb9cc8f67374bda13129434880	7591309
60	45c1aedad36c913496a975b1c5158105	7588686
61	56f1580f0c48b9871eda5b0b70f6e694	7582269
62	57f223bd5831e4fb97be74f39cd53163	7563351
63	853d1541d57f5f4401ee317448206f38	7531080
64	0c5d71d7293e54a3f9a6545c50ead8fa	7520993
65	853d1541d57f5f4401ee317448206f38	7517445
66	40b61f407470b2c547378382077ee3c5	7494586
67	ef925b63205d967787e83a57b53b6f53	7491333
68	805dfd44376a69da2548faa0c0b6a631	7488413
69	853d1541d57f5f4401ee317448206f38	7479215
70	d1f095130ec9ef4fcf6bfdf1308bdf50	7413383
71	91d6efe6ebaea5d2698a515aec565e41	7410583
72	23df0414a8e19527b5e8e27c8637b297	7399141
73	ddd63731c82abcae092455753e7fa489	7389880
74	61d61eb273fa35091828103553686583	7390416
75	853d1541d57f5f4401ee317448206f38	7387719
76	ed5b80c54a3c1039039dddb3fb073704	7309188
77	8c84367d564171c136e80a000052eb6f	7300578
78	96ae624bb2bc177248ac4c41e2346556	7294254
79	6bcdeecf9cef4986fafef930fb6fa5e8	7258790
80	c125001fa0952e0bf40ba61c5441f9cd	7255333
81	23df0414a8e19527b5e8e27c8637b297	7255514
82	8ddf7bd213558bf0cbfb7b3ab7ab820b	7252769
83	bc219f8ae9cc8db43b61fc5391776b63	7186345
84	abdfc8dc05dbffa028c6a0ce7b0d6e30	7160472
85	2345128f5ad52f5fd64c8a9ae66c840e	7157001
86	f7cffe43432b469216800d977a157c69	7153439
87	41e2881a19d25aa5512bff3d2c0ebd09	7108788
88	b44c628af18217a04ee9264d52f1a98d	7108788
89	1800971f3f62d9e7269ee42458eb0dde	7041219
90	51b51d3f6ffa3d54cd98ed5cbf97e1ce	7036314
91	b73160e4e09265794f61723397d3fb88	7022240
92	65794f71d76ce77e0f6356e20f28c0d7	6991593
93	104436cf71f7c4b76e91e9158335a4c0	6955796
94	4978be6ec549e5fb1e62856b96e9f983	6902667
95	fc1d2df3229c191795be4fa7d49111f2	6878281
96	f7cffe43432b469216800d977a157c69	6849176
97	fc1d2df3229c191795be4fa7d49111f2	6764111
98	5a5e6b8df7f9a003439b76a39cf3e9aa	6656361
99	ef2f4d65b88156d0762a7b4582152dd6	6623643
100	31defff26468e5fca8714c31c085a243	6540966
101	4c4f38e65f8cc1f8f624e80e8d3223b0	6533501
102	ec96c0212acde7a187c62b7728af9477	6527691
103	73ab83125f0f16861536831dfdecc6a0	6508078
104	15aed27f5efc001eac1e35ea2d39bce5	6491100
105	63fbb67bc29393391ef4a48656daffbb	6372138
106	cc19dbaf04458d4a4f0e57fa4a079573	6355221
107	b9939f93ace0ddc76e870a0ff48f5087	6348174
108	f10c0a0ad7799e6fc6d23e6d7f77a73b	6335089
109	479b2c3c145973c0a02ee2d9a1927c02	6293731
110	9874c3798a9ed12ee6c826aa2e85d476	6290637
111	384519b22179adb2412573c3e61e4c47	6235204
112	27ff57e449eda248b1bc290881f2db02	6228263
113	216884125a45223d864a03daf1ab9599	6200468
114	27ff57e449eda248b1bc290881f2db02	6197196
115	63fbb67bc29393391ef4a48656daffbb	6139743
116	e1e0fae71630c91e562f05cc2dffa242	6114648
117	2a2072c17d83cc22098f0c18548134c5	6110383
118	cd564569baec9868358afea8ef9f3677	6082931
119	fc1d2df3229c191795be4fa7d49111f2	6077484
120	c610954be2790930e31d1d112416db20	5972220
121	99df4a2c8b48a95a40b537ade7a510c7	5569180
122	095b8c87a59dabf067ab8f7dd0c8834b	4228614
123	7cab28de7dd024b7067820bce3179b6d	8529153
124	e3f43c4126b7e52e85dc7a83584aeb64	8500364
125	cc1857891b26e9bedf2c1e6aa8383875	8496404
126	71f3e476efbbb9e67e44167485d878f2	8425155
127	40ad81d837b52382dc1ffa3d1cbdd6d8	8292541
128	4ede649bb4eceb24c9504f126ef099dd	8277705
129	0695c2ba2d4b9c8f42c5e39463a35dff	8251611
130	9f411fa460c478a7e007dff869d550df	8240956
131	a5573c7da260cbb07979d6542b35f6ca	8206058
132	b2fa129fdf7129a0e298398d63e2f7c5	8033753
133	96be3c34b194409086c18c560e25fe02	8034278
134	20edd3cbb74260f23cf0ccc2e7d58e6b	7988851
135	1acc5e9fb0ec1475339348f19d265d90	7955030
136	a5573c7da260cbb07979d6542b35f6ca	7832958
137	6e5aa097dbef365844a0ebe27e2c5319	7722347
138	76e9b51f404e8a5f687f8565f61a4af7	7530982
139	951f4ef178c687d7b5590e82a6c782e8	7320584
140	8e050113a9c128c1407fe98e8cd3df97	7216725
141	8847940c7daf9a3cb32ba0560f55e975	7216725
142	121efff32e68dbf8c185119ed5af166a	7188574
143	8e050113a9c128c1407fe98e8cd3df97	7172036
144	8847940c7daf9a3cb32ba0560f55e975	7172036
145	4f0bd47c4e6965a48970c1f55bc0ad38	7165914
146	4f0bd47c4e6965a48970c1f55bc0ad38	7156580
147	acc06aac4581cb38b7247c92320cf21a	7114305
148	208dae3075d841204bacbaa368c0c35d	7056066
149	2e568c4e92b76f8c9a5ed708750f4526	7025532
150	d313b97ed5e4c0c9328c31d31e7a1d30	7025539
151	f8bd06071e0122bd1f8b7116ef1574dd	6755385
152	2e568c4e92b76f8c9a5ed708750f4526	6722818
153	2e568c4e92b76f8c9a5ed708750f4526	6692186
154	c8834cb1552fd11aa1f1c05a2a15a8dd	6564520
155	121efff32e68dbf8c185119ed5af166a	6565286
156	e145193defab6d1f7d66946e289a4acd	6394706
157	2bd90c03e8d879f0466382bf3f963128	6347909
158	5ffdb687a94b355bf1571d1e6059e5da	6338594
159	38fedb509fdc4fda80a3d7a128859c2c	4632792
160	7cab28de7dd024b7067820bce3179b6d	8529153
161	71f3e476efbbb9e67e44167485d878f2	8425155
162	9f411fa460c478a7e007dff869d550df	8240956
163	96be3c34b194409086c18c560e25fe02	8034278
164	121efff32e68dbf8c185119ed5af166a	7188574
165	87fe8b6d4b8a86d8777f508c1c558415	7144196
166	208dae3075d841204bacbaa368c0c35d	7056066
167	d313b97ed5e4c0c9328c31d31e7a1d30	7025539
168	9fd638a9cf81aebaf9a8fb794478e423	6913418
169	f8b1d6fce54ed58db9100f01ace13497	6746177
170	121efff32e68dbf8c185119ed5af166a	6565286
171	e145193defab6d1f7d66946e289a4acd	6394706
172	2bd90c03e8d879f0466382bf3f963128	6347909
173	cc6df3c421728d42b6706303b4929853	6347911
174	cd564569baec9868358afea8ef9f3677	6082931
175	e4d75d91fbcad5b9b4462a9f19f0df99	6033155
176	bb5a5e4dfe875a7f9afe399a940d12c7	5992060
177	fb658a523b5743133e23f5ad0b772e96	5899639
178	2917ac5523a5a577bd19fcefa4054a5f	5873678
179	d79d3c92b01084e88bebcf50632e0a9f	5817259
180	0e00c2c82d1b0504c06edb0ff102a6ad	5807028
181	03d4eb7df7bef8ec72e8bc03686e01e9	5743677
182	2917ac5523a5a577bd19fcefa4054a5f	5716166
183	2917ac5523a5a577bd19fcefa4054a5f	5628586
184	1137e23244df0084180969beca457353	5620280
185	1137e23244df0084180969beca457353	5556230
186	80936ad23fa87f9d8a07e42a0171ed71	5441362
187	3e6bc6e6bf323f89d1b9de5780bfc45f	5380131
188	f0fb8c980f6f55946e9d0a729082ab14	5354151
189	85faf42483a1a438535aff88e904cfa9	5288172
190	b22c3f48b3aa9f99309abc80b3c0d560	5224794
191	b22c3f48b3aa9f99309abc80b3c0d560	5174681
192	3a8d29b7dcde2e415cf009b6a4475e0c	5160219
193	e4d75d91fbcad5b9b4462a9f19f0df99	5145287
194	29d5063b526aba1fd9ca16fe9c5d3ea8	5095840
195	3e6bc6e6bf323f89d1b9de5780bfc45f	5087154
196	c1ef0fcd704c0519069efcbaeb53a5ea	4968184
197	4a6f984bd7d937dbaadcfdac4f8d65e4	4934869
198	8febc9d34e2be771176fa23fe168c8ff	4920907
199	0c4f5cb33fa2ac1dd807a828934eafa9	4917543
200	c1ef0fcd704c0519069efcbaeb53a5ea	4902170
201	2aa2d44778df1a16fd9c191bef723cb6	4858693
202	c1ef0fcd704c0519069efcbaeb53a5ea	4826356
203	0a5b973a2aa15e3297306b0f4725b2fa	4776727
204	63d1a9109476554e91186d2a84adbada	4740106
205	ecf6b54f7ee8cef3453d1828d50224b4	4690588
206	0c059c967e539c78bd65b3c818012fd0	4662791
207	c1ef0fcd704c0519069efcbaeb53a5ea	4661020
208	cdb04ca234c655b59ec2aaa14576df90	4604001
209	bce12b5e929d80e6eeabcee856a5f127	4600338
210	688936da7a58f44d636a7dbe5fbe2d8a	4600338
211	c1ef0fcd704c0519069efcbaeb53a5ea	4552486
212	c1ef0fcd704c0519069efcbaeb53a5ea	4549580
213	cdb04ca234c655b59ec2aaa14576df90	4511288
214	651b07ae98d8b8b5b6adab74bdfad764	4493591
215	cdb04ca234c655b59ec2aaa14576df90	4422803
216	cdb04ca234c655b59ec2aaa14576df90	4294564
217	cdb04ca234c655b59ec2aaa14576df90	4273068
218	cdb04ca234c655b59ec2aaa14576df90	4234269
219	cdb04ca234c655b59ec2aaa14576df90	4231312
220	cdb04ca234c655b59ec2aaa14576df90	4102144
221	e6d3b97c9802543cedfbb2d68ff94c42	4084801
222	c8951a551bc84da728ea26bb2ebb68c2	4073145
223	4ac07bf0b7a86004a558ee23a30857df	4064700
224	7e6a8a29a3c6371add979226c5074ac0	4023374
225	c49bb869ee16c4ce875485e1bc629c3a	4005672
