	0	1	2	3
66	('7591309', 'b5b329eb9cc8f67374bda13129434880')			
67	('7588686', '45c1aedad36c913496a975b1c5158105')			
68	('7582269', '56f1580f0c48b9871eda5b0b70f6e694')			
69	('7563351', '57f223bd5831e4fb97be74f39cd53163')			
70	('7531080', '853d1541d57f5f4401ee317448206f38')			
71	('7520993', '0c5d71d7293e54a3f9a6545c50ead8fa')			
72	('7517445', '853d1541d57f5f4401ee317448206f38')			
73				
74	('7494586', '40b61f407470b2c547378382077ee3c5')			
75	('7491333', 'ef925b63205d967787e83a57b53b6f53')			
76	('7488413', '805dfd44376a69da2548faa0c0b6a631')			
77	('7479215', '853d1541d57f5f4401ee317448206f38')			
78	('7413383', 'd1f095130ec9ef4fcf6bfdf1308bdf50')			
79	('7410583', '91d6efe6ebaea5d2698a515aec565e41')			
80	('7399141', '23df0414a8e19527b5e8e27c8637b297')			
81	('7389880', 'ddd63731c82abcae092455753e7fa489')			
82	('7390416', '61d61eb273fa35091828103553686583')			
83	('7387719', '853d1541d57f5f4401ee317448206f38')			
84	('7309188', 'ed5b80c54a3c1039039dddb3fb073704')			
85	('7300578', '8c84367d564171c136e80a000052eb6f')			
86	('7294254', '96ae624bb2bc177248ac4c41e2346556')			
87	('7258790', '6bcdeecf9cef4986fafef930fb6fa5e8')			
88	('7255333', 'c125001fa0952e0bf40ba61c5441f9cd')			
89	('7255514', '23df0414a8e19527b5e8e27c8637b297')			
90				
91	('7252769', '8ddf7bd213558bf0cbfb7b3ab7ab820b')			
92				
93				
94				
95	('7186345', 'bc219f8ae9cc8db43b61fc5391776b63')			
96	('7160472', 'abdfc8dc05dbffa028c6a0ce7b0d6e30')			
97	('7157001', '2345128f5ad52f5fd64c8a9ae66c840e')			
98	('7153439', 'f7cffe43432b469216800d977a157c69')			
99				
100	('7108788', '41e2881a19d25aa5512bff3d2c0ebd09')	('7108788', 'b44c628af18217a04ee9264d52f1a98d')		
101				
102				
103	('7041219', '1800971f3f62d9e7269ee42458eb0dde')			
104	('7036314', '51b51d3f6ffa3d54cd98ed5cbf97e1ce')			
105	('7022240', 'b73160e4e09265794f61723397d3fb88')			
106	('6991593', '65794f71d76ce77e0f6356e20f28c0d7')			
107	('6955796', '104436cf71f7c4b76e91e9158335a4c0')			
108				
109	('6902667', '4978be6ec549e5fb1e62856b96e9f983')			
110	('6878281', 'fc1d2df3229c191795be4fa7d49111f2')			
111	('6849176', 'f7cffe43432b469216800d977a157c69')			
112				
113	('6764111', 'fc1d2df3229c191795be4fa7d49111f2')			
114				
115	('6656361', '5a5e6b8df7f9a003439b76a39cf3e9aa')			
116	('6623643', 'ef2f4d65b88156d0762a7b4582152dd6')			
117				
118	('6540966', '31defff26468e5fca8714c31c085a243')			
119	('6533501', '4c4f38e65f8cc1f8f624e80e8d3223b0')			
120	('6527691', 'ec96c0212acde7a187c62b7728af9477')			
121	('6508078', '73ab83125f0f16861536831dfdecc6a0')			
122	('6491100', '15aed27f5efc001eac1e35ea2d39bce5')			
123				
124				
125				
126				
127	('6372138', '63fbb67bc29393391ef4a48656daffbb')			
128	('6355221', 'cc19dbaf04458d4a4f0e57fa4a079573')			
129	('6348174', 'b9939f93ace0ddc76e870a0ff48f5087')			
130	('6335089', 'f10c0a0ad7799e6fc6d23e6d7f77a73b')			
131				
132				
133	('6293731', '479b2c3c145973c0a02ee2d9a1927c02')			
134	('6290637', '9874c3798a9ed12ee6c826aa2e85d476')			
135				
136	('6235204', '384519b22179adb2412573c3e61e4c47')			
137	('6228263', '27ff57e449eda248b1bc290881f2db02')			
138	('6200468', '216884125a45223d864a03daf1ab9599')			
139	('6197196', '27ff57e449eda248b1bc290881f2db02')			
140	('6139743', '63fbb67bc29393391ef4a48656daffbb')			
141				
142	('6114648', 'e1e0fae71630c91e562f05cc2dffa242')			
143	('6110383', '2a2072c17d83cc22098f0c18548134c5')			
144	('6082931', 'cd564569baec9868358afea8ef9f3677')			
145	('6077484', 'fc1d2df3229c191795be4fa7d49111f2')			
146				
147				
148	('5972220', 'c610954be2790930e31d1d112416db20')			
149	('5569180', '99df4a2c8b48a95a40b537ade7a510c7')			
150	('4228614', '095b8c87a59dabf067ab8f7dd0c8834b')			
151				
152	('8529153', '7cab28de7dd024b7067820bce3179b6d')			
153	('8500364', 'e3f43c4126b7e52e85dc7a83584aeb64')			
154	('8496404', 'cc1857891b26e9bedf2c1e6aa8383875')			
155	('8425155', '71f3e476efbbb9e67e44167485d878f2')			
156	('8292541', '40ad81d837b52382dc1ffa3d1cbdd6d8')			
157	('8277705', '4ede649bb4eceb24c9504f126ef099dd')			
158	('8251611', '0695c2ba2d4b9c8f42c5e39463a35dff')			
159	('8240956', '9f411fa460c478a7e007dff869d550df')			
160	('8206058', 'a5573c7da260cbb07979d6542b35f6ca')			
161	('8033753', 'b2fa129fdf7129a0e298398d63e2f7c5')			
162	('8034278', '96be3c34b194409086c18c560e25fe02')			
163	('7988851', '20edd3cbb74260f23cf0ccc2e7d58e6b')			
164	('7955030', '1acc5e9fb0ec1475339348f19d265d90')			
165	('7832958', 'a5573c7da260cbb07979d6542b35f6ca')			
166				
167				
168	('7722347', '6e5aa097dbef365844a0ebe27e2c5319')			
169				
170	('7530982', '76e9b51f404e8a5f687f8565f61a4af7')			
171				
172				
173	('7320584', '951f4ef178c687d7b5590e82a6c782e8')			
174				
175	('7216725', '8e050113a9c128c1407fe98e8cd3df97')	('7216725', '8847940c7daf9a3cb32ba0560f55e975')		
176	('7188574', '121efff32e68dbf8c185119ed5af166a')			
177	('7172036', '8e050113a9c128c1407fe98e8cd3df97')	('7172036', '8847940c7daf9a3cb32ba0560f55e975')		
