	grant_citation_id	patent_id
0	6553768	8628627
1	3938972	8628627
2	4065322	8628627
3	5018355	8628627
4	7018965	8628627
5	6484508	8628627
6	4196020	8628627
7	4557740	8628627
8	6478033	8628627
9	2760597	8628627
10	3335916	8628627
11	4834912	8628627
12	4543108	8628627
13	4059123	8628627
14	2878892	8628627
15	4300918	8628627
16	5318254	8628627
17	7065955	8628627
18	5725611	8628627
19	5268011	8628627
20	5011540	8628627
21	3766719	8628627
22	4975101	8628627
23	4713120	8628627
24	4802901	8628627
25	6080225	8628627
26	6503334	8628627
27	3564820	8628627
28	6017377	8628627
29	6675437	8628627
30	5868860	8628627
31	6565758	8628627
32	3527030	8628627
33	7185663	8628627
34	7297260	8628627
35	6310022	8628627
36	5507306	8628627
37	6470668	8628627
38	5137555	8628627
39	7150431	8628627
40	7198052	8628627
41	5490646	8628627
42	4530707	8628627
43	3481544	8628627
44	4462192	8628627
45	5972062	8628627
46	5464459	8628627
47	5899217	8628627
48	4158449	8628627
49	1926924	8628627
50	4439241	8628627
51	3616623	8628627
52	1834534	8628627
53	4234323	8628627
54	6964669	8628627
55	5269823	8628627
56	4225188	8628627
57	7001525	8617400
58	5840195	8617400
59	7648637	8617400
60	6919031	8617400
61	7311841	8617400
62	6645386	8617400
63	7648638	8617400
64	6010631	8617400
65	6277285	8617400
66	4927543	8617400
67	5730864	8617400
68	6824692	8617400
69	5029804	8596928
70	6817811	8596928
71	5658096	8596928
72	4725216	8596928
73	7048472	8596928
74	4564316	8596928
75	5124416	8598405
76	6228930	8598405
77	5244735	8598405
78	4093776	8598405
79	5250640	8598405
80	4683274	8598405
81	6562879	8598405
82	6071976	8598405
83	6410616	8598405
84	32649	8598405
85	4286082	8598405
86	8063265	8598405
87	4625001	8598405
88	4367323	8598405
89	4732968	8598405
90	5981070	8598405
91	4446261	8598405
92	5145906	8598405
93	4985518	8598405
94	5380808	8598405
95	5264495	8598405
96	5866678	8598405
97	6254990	8598405
98	4873299	8598405
99	5051259	8598405
100	4973632	8598405
101	6336620	8567743
102	4429497	8567743
103	6324800	8567743
104	3514911	8567743
105	5505033	8567743
106	5568909	8567743
107	6513291	8567743
108	6729089	8567743
109	6132600	8551341
110	4495056	8551341
111	7172701	8551341
112	4749492	8551341
113	5192442	8551341
114	7252766	8551341
115	4221695	8551341
116	4563277	8551341
117	4919815	8551341
118	4265747	8551341
119	6048459	8551341
120	7722768	8551341
121	4810386	8551341
122	4623464	8551341
123	5302288	8551341
124	6863818	8551341
125	4778598	8551341
126	3966599	8551341
127	6982037	8551341
128	4371454	8551341
129	6290852	8551341
130	5200081	8551341
131	6773598	8551341
132	5560819	8551341
133	6077424	8551341
134	4656153	8551341
135	6280625	8551341
136	5202027	8551341
137	4897196	8551341
138	8137557	8551341
139	5126050	8551341
140	7678268	8551341
141	7396453	8551341
142	7972512	8551341
143	6544421	8551341
144	5505841	8551341
145	6007712	8551341
146	4626354	8551341
147	5486292	8551341
148	5932099	8551341
149	6761823	8551341
150	5972211	8551341
151	7018534	8551341
152	7419594	8551341
153	5653883	8551341
154	3776853	8551341
155	6030529	8551341
156	4956093	8551341
157	7329351	8551341
158	5650070	8551341
159	7329344	8551341
160	5649785	8551341
161	5173187	8535534
162	4017402	8535534
163	4906359	8529764
164	5344557	8529764
165	6676837	8529764
166	6348147	8529764
167	7736509	8529764
168	4230569	8529764
169	6344144	8529764
170	5478473	8529764
171	3523891	8529764
172	7455773	8523965
173	4969932	8523965
174	7811340	8523965
175	4622210	8523965
176	6960301	8523965
177	4415432	8523965
178	6746593	8523965
179	4969933	8523965
180	4379045	8523965
181	5711768	8523965
182	5443716	8523965
183	4350103	8523965
184	5501798	8523965
185	6016868	8523965
186	7731854	8523965
187	3969245	8523965
188	7314568	8486271
189	6241893	8486271
190	4190456	8486271
191	4362626	8486271
192	7148270	8486271
193	6929748	8486271
194	3317925	8454838
195	5039427	8454838
196	4952398	8454838
197	5106229	8454838
198	2314767	8454838
199	5842243	8454838
200	3406416	8454838
201	6149819	8454838
202	3540274	8454838
203	3660957	8454838
204	3641594	8454838
205	5172445	8454838
206	6317901	8454838
207	3419916	8454838
208	4304022	8454838
209	6444176	8454838
210	5346566	8454838
211	5985156	8454838
212	4254525	8454838
213	3844760	8454838
214	4581075	8454838
215	5337434	8454838
216	3695434	8454838
217	3412862	8454838
218	3950809	8454838
219	4100641	8454838
220	3748810	8454838
221	4640784	8454838
222	6280639	8454838
223	6303038	8454838
224	4880547	8454838
225	4692956	8454838
226	4254818	8454838
227	4767511	8454838
228	6419840	8454838
229	4889622	8454838
230	4338697	8454838
231	4343696	8454838
232	7252843	8454838
233	3788982	8454838
234	4948296	8454838
235	6228272	8454838
236	5398361	8454838
237	5802631	8454838
238	5143623	8454838
239	4129904	8454838
240	6284144	8454838
241	4849024	8454838
242	4835810	8454838
243	7862712	8454838
244	5245723	8454838
245	4176058	8454838
246	4776053	8454838
247	7820055	8454838
248	4119535	8454838
249	4263759	8454838
250	4090266	8454838
251	5108514	8454838
252	5454129	8454838
253	5028321	8454838
254	6539573	8454838
255	2646889	8454838
256	2923954	8454838
