	patent_id	inventor
971	456	Shih-Chieh Chen
972	456	Chi-Yi Liou
973	456	Teng-Yu Chen
974	457	Keith Forrester Edward
975	458	Robert Howard
976	459	John Meyers lll J.
977	459	John Swartz H.
978	459	Nathaniel Kurczewski G.
979	459	Matthew Kurczewski J.
980	460	Suha Rawhani
981	460	Jacobus Viljoen Johannes
982	461	William C. Batten
983	461	Bruce Kyles
984	461	Charles Kemp
985	462	Gabriel Plante
986	463	Soichiro Yamamoto
987	464	Edwin Rice E.
988	464	Charles Franklin H.
989	465	Mark Butler Henry
990	466	Kang Lin Chin
991	467	Roger Carson W.
992	467	Bruce Bremer W.
993	468	Imre Mecs
994	468	Miklos Kalman
995	468	Miklos Hlatki
996	468	Sandor Puskas
997	468	Janos Balazs
998	468	Gyula Lengyel
999	468	Zsolt Virag
1000	468	Gyula Kovacs
1001	468	Ferenc Horvath
1002	468	Imre Samu
1003	469	Kazuo Okutsu
1004	469	Hisashi Takamura
1005	469	Koji Hane
1006	469	Nobuyuki Matsui
1007	469	Yasuyuki Hayakawa
1008	469	Mitsuaki Furuichi
1009	470	Regis Phillip Renaud
1010	471	Daniel  Goldmann
1011	471	Bram den  Dunnen
1012	471	Michael  Knust
1013	472	Mohan Singh Saran
1014	472	George Walter Luxbacher
1015	473	Roger W Carson
1016	473	Bruce W Bremer
1017	474	Charles E. Tharp
1018	474	Randall C. Chann
1019	475	Lawrence  Conaway
1020	475	Michael R. Keller
1021	475	Roger K. Noble
1022	476	Joe W. Lacey
1023	477	Peter J. Ianniello
1024	478	Jerome Fife Jay
1025	478	Daniel Wickham Edmund
1026	479	Vladimir Shreider Anatol
1027	479	Natalia Shreider
1028	480	Kurt Ingerle
1029	481	Charles C. Kemper
1030	481	Jan  Allen
1031	481	Tom  Kraemer
1032	482	Adam Krylowicz
1033	482	Kazimierz Chrzanowski
1034	482	Janusz Usidus
1035	483	Richard Grimes T.
1036	484	David Polston L.
1037	485	Robert Colin Pugh
1038	485	Colin John Francis Philip Jones
1039	486	Paul A. Kittle
1040	487	Richard Donald Witham
1041	487	Edward Bayer McNew
1042	487	John Leslie Burba III
1043	488	Hung Van Nguyen
1044	488	Donald Bruce Bursill
1045	488	James Young Morran
1046	488	Mary  Drikas
1047	488	Veronica Laurel Pearce
1048	489	Jan D. Graves
1049	490	Paul John Hart
1050	490	Rebecca K. Snyder
1051	491	Bernard  Greenberg
1052	492	Lawrence  Conaway
1053	492	Michael R. Keller
1054	492	Roger K. Noble
1055	493	Thomas J. Casper
1056	493	Mark A. Schoenenberger
1057	493	Brad D. Laubenstein
1058	493	James A. Reilly
1059	493	Joseph G. Krall
1060	494	Ajit K. Chowdhury
1061	495	Alexander  Manu
1062	496	James  Barthel
1063	496	Mark A. Peters
1064	497	Gerald J. Grott
1065	498	Joseph  Leon
1066	499	Kang Chin Lin
1067	500	Burkhard  Schmeling
1068	501	Robert  Federighi
1069	501	James  Johnson
1070	502	Jason A. Demers
1071	502	Scott A. Leonard
1072	502	Kingston  Owens
1073	503	Dave  Van Vliet
1074	503	Herbert Wallace Campbell
1075	503	Stephen Barrie Chambers
1076	504	Paul Etienne
1077	504	Pierre Buffiere
1078	505	E. Craig Jowett
1079	506	Earl Roger Singleton
1080	507	William  Warren
1081	507	Gordon  Lewis
1082	507	Robert  Rizzari
1083	508	Riccardo  Cattaneo-Vietti
1084	508	Giorgio  Bavestrello
1085	508	Umberto  Benatti
1086	508	Carlo  Cerrano
1087	508	Marco  Giovine
1088	509	Keith E. Forrester
1089	510	Zoltan  Egeresi
1090	511	W. B. McNeill
1091	512	Garry Kevin Callinan
1092	512	Peter Chapman
1093	513	Charles E. Tharp
1094	513	Randall C. Chann
1095	514	John W. Baumgartner
1096	514	Mark K. Kubesh
1097	515	Pierre  Jeanvoine
1098	516	Michael  Airheart
1099	517	Scott Lee Wellington
1100	517	John Michael Karanikas
1101	517	Kevin Albert Maher
1102	517	Meliha Deniz Sumnu-Dindoruk
1103	517	Harold J. Vinegar
1104	518	Claus  Hoffjann
1105	518	Hans-Juergen  Heinrich
1106	519	Gordon L. Richard
1107	520	Robert John Walker
1108	521	Harold J. Vinegar
1109	521	Ronald Marshall Bass
1110	522	Joseph G. Harrington
1111	523	Martin T. Sherman
1112	524	Keith Edward Forrester
1113	525	Wen Chao Shen
1114	526	John G. Petersen
1115	526	William C. Holmes
1116	527	Mohammad  Abu-Orf
1117	527	Banu  Ormeci
1118	528	Pen-Hsien  Chi
1119	528	Zhi-Jian  Chen
1120	528	Wen-Ching  Chen
1121	528	Rung-Yaw  Chen
1122	528	Chie Chien Tseng
1123	529	Jonathan M. Dietz
1124	530	Padraig  McAlister
1125	531	Peter J. Ianniello
1126	532	Jack Herron
1127	532	Robert Salter
1128	533	Craig C. Andrews
1129	533	Oliver J. Murphy
1130	534	Ernest E. Carter JR.
1131	535	Scott Lee Wellington
1132	535	Eric Pierre de Rouffignac
1133	535	Harold J. Vinegar
1134	536	Robert D. Chisholm
1135	536	Debrah A. Beck
1136	536	John B. Steward
1137	536	Jordan M. Johnston
1138	536	Baosheng  Lee
1139	537	John Michael Karanikas
1140	537	Ilya Emil Berchenko
1141	537	Eric Pierre de Rouffignac
1142	537	Jean-Charles  Ginestra
1143	537	Kirk Samuel Hansen
1144	537	Lanny Gene Schoeling
1145	537	Gordon Thomas Shahin JR.
1146	537	Meliha Deniz Sumnu-Dindoruk
1147	537	Harold J. Vinegar
1148	538	Juan Carlos Josse
1149	538	John William Sutherlin
1150	539	Harold J. Vinegar
1151	539	Eric Pierre de Rouffignac
1152	539	Kevin Albert Maher
1153	539	Lanny Gene Schoeling
1154	539	Scott Lee Wellington
1155	540	Scott Lee Wellington
1156	540	Ajay Madhav Madgavkar
1157	540	Robert Charles Ryan
1158	541	Harold J. Vinegar
1159	541	Eric Pierre de Rouffignac
1160	541	John Michael Karanikas
1161	541	Scott Lee Wellington
1162	542	Harold J. Vinegar
1163	542	Eric Pierre de Rouffignac
1164	542	Ajay Madhav Madgavkar
1165	542	Kevin Albert Maher
1166	542	Billy John McKinzie, II
1167	542	Bruce Donald Palfreyman
1168	542	Robert Charles Ryan
1169	542	George Leo Stegemeier
1170	542	John Michael Ward
1171	542	Scott Lee Wellington
1172	543	Kenneth  Haggerty
1173	544	Pierce L. Chandler JR.
1174	545	Harold J. Vinegar
1175	545	Dannie Antoine Aymond JR.
1176	545	Kevin Albert Maher
1177	545	Billy J. McKinzie, II
1178	545	Bruce Donald Palfreyman
1179	545	George Leo Stegemeier
1180	545	John Michael Ward
1181	545	Ronnie Wade Watkins
1182	545	Scott Lee Wellington
1183	546	G. Robert Whiteman
1184	547	Peter  Veenstra
1185	547	Eric Pierreus de Rouffignac
1186	547	John Michael Karanikas
1187	547	Harold J. Vinegar
1188	547	Scott Lee Wellington
1189	548	Kenneth S. Price
1190	548	Joe  Kurek
1191	548	Kurt  Whitfield
1192	548	Herbert I. Wissel
1193	549	Tamiyuki  Eguchi
1194	549	Shiro  Tanso
1195	549	Naoki  Murakami
1196	549	Nobuo  Hayashi
1197	549	Seiji  Okuda
1198	550	Robert D. Chisholm
1199	550	Debrah A. Beck
1200	550	John B. Steward
1201	550	Jordan M. Johnston
1202	550	Baosheng Lee
1203	551	Harold J. Vinegar
1204	551	Christopher Kelvin Harris
1205	551	Robin Adrianus Hartmann
1206	551	Christopher Arnold Pratt
1207	551	Gordon Bruce Lepper
1208	551	Randolph Rogers Wagner
1209	552	Daniel K. Cha
1210	552	Pei C. Chiu
1211	552	Seok-Young  Oh
1212	552	Byung Joon Kim
1213	553	Byung J. Kim
1214	553	Neal R. Adrian
1215	553	Clint M. Arnett
1216	554	Kurt  Ingerle
1217	555	Garry Kevin Callinan
1218	555	Peter  Chapman
1219	556	Chung-Yi  Liaw
1220	557	Theodore W. Meyers
1221	558	Brian  Kenet
1222	558	Pedro Joaquin Sanchez Belmar
1223	559	William F. Heins
1224	560	Kuniaki  Terato
1225	561	Edwin E. Rice
1226	561	Charles H. Franklin
1227	562	Juergen  Ahnsorge
1228	562	Ivan  Ban
1229	562	Heinz-Helmer  Rasche
1230	563	Boris Ozyboyd
1231	564	Saburo  Matsui
1232	564	Shinobu  Kobayashi
1233	564	Sadakatsu  Kimura
1234	565	Joe O. Trahan
1235	566	Bang Mo Kim
1236	566	Stephen Lan-Sun Hung
1237	566	Joseph James Salvo
1238	567	Gary Lane Poole
1239	568	Ruggero Maria Santilli
1240	569	Derek P. Williams
1241	569	Christopher S. Williams
1242	569	Allan E. Hokanson
1243	570	Christine  Brauer
1244	571	Fernando A. deTorres
1245	572	Regis Phillip Renaud
1246	573	Garry Kevin Callinan
1247	573	Peter Chapman
1248	574	William J. Gannon
1249	574	John  Muir
1250	574	Glen T. Van Lier
1251	575	Robert C. Moore
1252	576	Vadake R. Srinivasan
1253	576	John J. Sansalone
1254	577	Roger W. Carson
1255	577	Bruce W. Bremer
1256	578	Viktor Ivanovich Petrik
1257	579	Michael David Hedenland
1258	579	Lloyd Duane Hedenland SR.
1259	579	Mark D. Hedenland
1260	580	Larry P. Sower
1261	581	Yoshiaki  Fukuda
1262	581	Hirofumi  Shiochi
1263	581	Motomasa  Okubo
1264	581	Fumiyuki  Yahagi
1265	581	Toshihiko  Mita
1266	581	Kazuo  Ishihara
1267	582	Jan D. Graves
1268	583	Kenneth J. Boutte
1269	583	Ban D. Green
1270	584	Masuzo  Murakami
1271	584	Tetsuo  Murakami
1272	585	John W. Baumgartner
1273	585	Mark K. Kubesh
1274	586	Robert D. Chisholm
1275	586	Debrah A. Beck
1276	586	John B. Steward
1277	586	Jordan M. Johnston
1278	586	Baosheng  Lee
1279	587	Richard T. Grimes
1280	588	Echezuria; Heriberto
1281	588	Vasquez; Pedro
1282	588	De Aguiar; Jose
1283	588	Urich; Juan F.
1284	589	Han Jong Chen
1285	589	Wei Fu Chen
1286	590	Carol M. Jantzen
1287	590	John B. Pickett
1288	590	Connie A. Cicero-Herman
1289	590	James C. Marra
1290	591	Laszlo  Marton
1291	591	Mihaly  Czako
1292	592	David A. Hazlebeck
1293	593	David C. Pollock
1294	594	Renaud; Regis Phillip
1295	595	Jan D. Graves
1296	596	Jan D. Graves
1297	597	Robert L. Irvine
1298	598	Michael David Max
1299	599	Hideo  Sekino
1300	599	Satoshi  Inoue
1301	599	Yuichiro  Yamazaki
1302	599	Masashi  Ohbuchi
1303	599	June  Toda
1304	599	Shu  Susami
1305	599	Yoshie  Yamanishi
1306	600	Eric B. Tiemeyer
1307	601	Jan D. Graves
1308	602	Jan D. Graves
1309	603	Kazuyuki  Yamasaki
1310	603	Kazumi  Chujo
1311	603	Seiji  Okamoto
1312	603	Yukihiro  Tao
1313	604	Warren Howard Chesner
1314	604	James  Melrose
1315	605	Tetsuya  Matsui
1316	605	Kiyomi  Funabashi
1317	605	Yoshiaki  Ichikawa
1318	605	Takako  Oono
1319	605	Akira  Sekine
1320	606	Warren Howard Chesner
1321	606	James  Melrose
1322	607	Laura Jane Bailey
1323	607	John Timothy Bailey
1324	608	Gerald J. Grott
1325	609	Craig C. Andrews
1326	609	Oliver J. Murphy
1327	610	Graves; Jan D.
1328	611	Al-Samadi; Riad A.
1329	612	Larry P. Sower
1330	613	Donald; Hubbard H.
1331	613	Johnson; George E.
1332	614	Jerome Jay Fife
1333	614	Daniel Edmund Wickham
1334	615	Terry A. Berger
1335	615	Kimber D. Fogelman
1336	615	L. Thompson Staats
1337	615	Mark  Nickerson
1338	615	Paul  Bente
1339	616	Abdul-Rahman Abdul-Kader M. Faqih
1340	617	Ajit K. Chowdhury
1341	618	Lutz  Bilke
1342	619	Cho; Jae-hyun
1343	619	Kim; Yong-hwan
1344	619	Lee; Yong-woo
1345	619	Lee; Won-kwon
1346	620	Abdul-Rahman Abdul Faqih
1347	621	Kevin P. O'Leary
1348	621	Thomas H. Probst
1349	621	Jenchie  Wang
1350	621	David A. Wilson
1351	621	Henry J. Probst
1352	622	John Michael Sullivan
1353	622	Gregg Anthony Crocco
1354	623	Rappas; Alkis S.
1355	624	John G. Petersen
1356	624	William C. Holmes
1357	625	Glen D. Lindbo
1358	626	Akihiko  Hongyo
1359	626	Masaki  Naito
1360	626	Kazuhiro  Inoue
1361	627	Hall; John L.
1362	628	Randall Jeff Kozak
1363	629	Clint R. Elston
1364	630	Ernest E. Carter JR.
1365	631	Takaya  Sato
1366	631	Tsutomu  Uehara
1367	631	Hiroshi  Yoshida
1368	631	Mitsugu  Kotani
1369	632	Lawrence M. Conaway
1370	632	Roger  Noble
1371	632	Michael  Keller
1372	632	David  Caffey
1373	633	Skermer; Nigel A.
1374	633	Dormer; John L.
1375	634	ANDREW ROBERT WINSTON  GOUGH
1376	634	MARK KENNETH  LANGFORD
1377	634	PAUL FREDERICK  TURNER
1378	635	Tobey, Jr.; James Francis
1379	635	Stapleton, Jr.; Raymond D.
1380	636	James R. Gray
1381	636	Donald R. Rousseau
1382	636	Lloyd E. Weaver
1383	637	J. Kenneth Wittle
1384	637	Richard A. Hamilton
1385	637	Charles S. Titus
1386	638	JEFFREY H.  BURBANK
1387	638	C. DAVID  FINCH
1388	638	JAMES M.  BRUGGER
1389	639	Jun  Yamamoto
1390	639	Akira  Osawa
1391	639	Kunimasa  Muroi
1392	639	Yoichi  Nagasaki
1393	640	Carol M. Jantzen
1394	640	John B. Pickett
1395	640	Connie A. Cicero-Herman
1396	640	James C. Marra
1397	641	Lindbo; Glen D.
1398	642	Studer; Ritchie G.
1399	643	Eighmy; T. Taylor
1400	644	McElvaney; James D.
1401	645	Castaldi; Frank J.
1402	645	Behrens; Gregory P.
1403	645	Hargrove, Jr.; Oliver W.
1404	646	Rose; Peter Dale
1405	646	Hart; Oliver O'Connor
1406	647	Schmit; Frank L.
1407	647	Ewing; Lloyd
1408	647	Redmon; David T.
1409	648	Rose; Peter Dale
1410	648	Hart; Oliver O'Connor
1411	649	Park; Jong-bok
1412	649	Jung; Keum-hee
1413	649	Sohn; Jeong-hee
1414	650	Oyzboyd; Boris
1415	651	Takano; Hiroshi
1416	651	Yonekawa; Tetsushi
1417	652	Coombs; Harvey W.
1418	652	Pearson; Ron D.
1419	653	Hopper; Mark A.
1420	654	Graves; Jan D.
1421	655	Grott; Gerald J.
1422	656	Melegari; Cesare
1423	657	Bailey; Elena
1424	658	Spears; James R.
1425	659	Schmit; Frank L.
1426	659	Redmon; David T.
1427	659	Ewing; Lloyd
1428	660	Cardarelli; Nathan F.
1429	661	JAE HYUN  LIM
1430	662	YiuTak  Leung
1431	663	Hans P.  Hopper
1432	664	Michael F.  Vieira
1433	664	Brett  Moreau
1434	664	Mark A.  Brodeur
1435	664	Bob  Myatt
1436	665	Edward R.  Fyfe
1437	666	Josep Ramon Medina  Folgado
1438	666	Maria Esther Gomez  Martin
1439	667	Scott D.  Aston
1440	667	Michael G.  Carfagno
1441	667	Philip A.  Creamer
1442	668	Peter Miles  Roberts
1443	669	Edward R.  Fyfe
1444	670	Richard L.  Ramirez
1445	670	Mark A.  Bergeron
1446	671	Johannes Wilhelmus Jacobus Mikx
1447	672	ATAUL HAQ
1448	673	Nicolas Freitag
1449	673	Jean-Claude Morizot
1450	674	Scott D. Aston
1451	674	Michael G. Carfagno
1452	674	Philip A. Creamer
1453	675	Steven M. Akkala
1454	676	Buddy Harry BUSSEY, III
1455	676	Harry Bussey, JR.
1456	677	Craig B. Stolarczyk
1457	677	Robert M. Loomis
1458	677	Paul D. Rogers
1459	677	Omar Tiba
1460	678	William E. Stimel
1461	679	Bruno S. Boursier
1462	679	Jack D. Fudge
1463	680	Buddy Harry Bussey, III
1464	680	Harry Bussey, Jr.
1465	681	Edward John Cavenagh
1466	681	Gregg Martin
1467	681	Selamawit Tedesse Desta
1468	682	Cameron Phillip Lewis
1469	683	Michael Duggan Drieu
1470	683	Patrick Michael Cargol, JR.
1471	683	Jonathan Eryl Rogers
1472	683	Pierre Albert Beynet
1473	683	Stanley Silva
1474	684	Kenneth Douglas Hill
1475	685	Dilip K. Chatterjee
1476	685	Shanghua Wu
1477	685	Yuming Xie
1478	685	Christopher E. Coker
1479	685	Robert D. Skala
1480	686	Kevin S. Vrondran
1481	686	David E. Fuller
1482	686	Jeremy I. Johnson
1483	687	Markus Hartung
1484	687	Christof Kruse
1485	688	Alain DESMEULES
1486	689	Galen R. Clark, II
1487	689	Michael Todd Martin
1488	689	Gary L. Siems
1489	690	John E. IRVINE
1490	690	Steven E. HARGRAVE
1491	691	Cameron Phillip Lewis
1492	692	Louis A. Waters, Jr.
1493	693	Alfonso Lopez
1494	694	Peter Miles Roberts
1495	695	Norman L. Olson
1496	695	Wesley R. Johnson
1497	695	Richard H. Langford, II
1498	696	YiuTak Leung
1499	697	Ralph E. Showman
1500	697	Sean B. Harmon
1501	698	Ralph E. Showman
1502	698	Sean B. Harmon
1503	699	Ralph E. Showman
1504	699	Sean B. Harmon
1505	700	John H. McGinn
1506	700	Vincent P. Morris
1507	701	Matthew D. Campbell
1508	701	Steven G. Hall
1509	701	Robert L. Beine
1510	702	Norman L. Olson
1511	702	Wesley R. Johnson
1512	702	Richard H. Langford, II
1513	703	Dominique Roddier
1514	703	Christian Cermelli
1515	704	Etienne MENARD
1516	705	John C. Stankus
1517	705	John G. Oldsen
1518	705	Xiaoting Li
1519	705	John Feyrer
1520	705	Dakota Faulkner
1521	705	Arthur J. Craven
1522	705	Demrey G. Brandon
1523	706	Michael E. Daily
1524	707	Lee M. Veldboom
1525	707	Kevin S. Vrondran
1526	707	Jeremy I. Johnson
1527	708	Steven George Smith
1528	708	Troy Achterkirch
1529	708	Steven John Thorkelson
1530	709	Jon Michael LaRue
1531	709	Craig Edward Cappel
1532	709	Frank Andrew Petlak
1533	709	Marshall Van Domelen
1534	710	Boris Feldman
1535	710	Alexander Feldman
1536	710	Michael Feldman
1537	711	Albert E. Aaron
1538	712	C. Thomas McCreedy
1539	712	Dennis Daugherty
1540	713	Timothy Krause
1541	713	Michael H. Johnson
1542	713	Richard Ferencz
1543	714	Ananda H. Kumar
1544	714	Dien Nguyen
1545	714	Martin Janousek
1546	714	Tad Armstrong
1547	715	Harry Bussey, JR.
1548	715	Buddy Harry Bussey, III
1549	716	Kevin S. Vrondran
1550	716	David E. Fuller
1551	716	Jeremy I. Johnson
1552	717	David W. Jacob
1553	717	Christopher S. Hersey
1554	717	Casey T. Kenniston
1555	717	Michael P. Stone
1556	718	Timothy Krause
1557	718	Michael H. Johnson
1558	718	Richard Ferencz
1559	719	Tricia Hill
1560	719	Yanqiu Zhang
1561	720	David W. Gentry
1562	721	George A. Holmes
1563	721	Tadeusz Rybka
1564	722	Carl-Hugo M. Mellander
1565	723	John Richard Logan
1566	723	Thomas J. Baker
1567	724	John E. Irvine
1568	724	Steven E. Hargrave
1569	725	Louis A. Waters, JR.
1570	726	John H. McGinn
1571	726	Vincent P. Morris
1572	727	David Goshert
1573	728	Greg Sabourin
1574	729	David Stadler
1575	730	Eun Chyun Kyung
1576	731	Josep Ramon Medina Folgado
1577	731	Maria Esther Gomez Martin
1578	732	Peter W. Gavin
1579	733	Richard C. Moore
1580	734	Steven M. Akkala
1581	735	Ameet Kulkarni
1582	736	Jay Gunnarson
1583	737	Xu Gang (Wilf) Zhao
1584	737	Gang Qiu
1585	737	Xinghai Li
1586	737	Yinxia (Michael) Yang
1587	738	Lee Veldboom M.
1588	738	Kevin Vrondran S.
1589	738	Jeremy Johnson I.
1590	739	C. Thomas McCreedy
1591	739	Dennis Daugherty
1592	740	Lou Watkins
1593	741	Bruce M. Harper
1594	741	Christopher H. Bajorek
1595	742	Francesco Sposito
1596	743	David Stadler
1597	744	David A. Bradley
1598	745	Yuan-Ping R. Ting
1599	745	Jerome L. Buchanan
1600	746	Edward R. Fyfe
1601	746	Robert Joness Fyfe
1602	747	Peter Mansfield W.
1603	748	Alfonso Lopez
1604	749	Yun Ding
1605	749	William Soester Lawrence
1606	750	Lloyd E. Jacobs
1607	750	David E. Turriff
1608	750	John F. Schabron
1609	750	Susan S. Sorini-Wong
1610	750	Thomas M. Christy
1611	751	Robin M. Converse
1612	751	Young-Chan Park
1613	752	Changshi Mao
1614	752	Robin Converse M.
1615	753	Rainer Pechtold
1616	753	Ingo Hermann
1617	753	Markus Lindner
1618	754	Lloyd E. Jacobs
1619	754	David E. Turriff
1620	754	John F. Schabron
1621	754	Susan S. Sorini-Wong
1622	754	Thomas M. Christy
1623	755	Kenneth L. Suazo
1624	756	Kenneth L. Suazo
1625	756	Isaac Suazo
1626	756	Dawn S. Harder
1627	756	Juan Griego
1628	756	Julian Suazo
1629	757	Rens Hansort
1630	758	Werner Heierli
1631	759	Robin Converse M.
1632	759	Young-Chan Park
1633	760	Michael Schoemann P.
1634	760	Glenn Cowelchuk A.
1635	760	John Youngs D.
1636	760	Randy Reed S.
1637	761	John E. Irvine
1638	762	Kenneth L. Suazo
1639	762	Isaac Suazo
1640	762	Annabelle Suazo
1641	762	Dawn Suazo Daugherty
1642	762	Juan Griego
1643	762	Julian Suazo
1644	763	John E. Irvine
1645	764	John Irvine E.
1646	765	Glenn Cowelchuk A.
1647	765	Randy Reed S.
1648	765	Kenneth Shaner W.
1649	766	Robert Trauger J.
1650	766	James Olsta T.
1651	766	Charles Hornaday J.
1652	766	Jerald Darlington W.   JR.
1653	767	Tah Shan Lin
1654	768	Jan Manda M.
1655	768	Sean Weir
1656	768	Pierre Pinet Jean
1657	769	Kenneth Suazo L.
1658	769	Isaac Suazo
1659	769	Dawn Harder S.
1660	769	Juan Griego
1661	769	Julian Suazo
1662	770	Lloyd Jacobs E.
1663	770	David Turriff E.
1664	770	John Schabron F.
1665	770	Susan Sorini-Wong S.
1666	770	Thomas Christy M.
1667	771	Thomas West George
1668	771	Qing Liu
1669	771	Peter Materna A.
1670	771	Alfred Litwak Anthony
1671	771	Christopher Gaylo M.
1672	772	Roy Stoecker R.
1673	772	Leland Hairr M.
1674	773	John Irvine E.
1675	774	David  Thomason
1676	774	Mary Williams Goodson
1677	774	Christian Carl Sundberg
1678	774	Michael Louis Doleac
1679	775	Sidney E. Veazey
1680	776	Kenneth L. Suazo
1681	777	J. Dean Latvaitis
1682	777	Raymond  Miller
1683	777	Steven A. Czekaj
1684	777	Patrick W. Holmes
1685	778	Carl T. Detiveaux
1686	779	J. Eric Spangler
1687	779	Kumar Gopalan Jayanath
1688	779	Bob  Abbott
1689	779	James A. Blazek
1690	780	Alexander I. Wallstein
1691	780	Raymond  Brandon
1692	780	Roland  Walker
1693	780	Steven  Brady
1694	781	Harry B. Lancelot, III
1695	781	Thomas E. Lannom
1696	781	Sidney E. Francies, III
1697	782	Kenneth L. Suazo
1698	782	Isaac  Suazo
1699	782	Annabelle  Suazo
1700	782	Dawn Suazo  Daugherty
1701	782	Juan  Griego
1702	782	Julian  Suazo
1703	783	Zhenxin  Chen
1704	783	Ze  Chen
1705	784	Kenneth L. Suazo
1706	784	Isaac Suazo
1707	785	Jon E. Khachaturian
1708	786	Werner  Heierli
1709	787	Lloyd E. Jacobs
1710	787	David E. Turriff
1711	787	John F. Schabron
1712	787	Susan S. Sorini-Wong
1713	787	Thomas M. Christy
1714	788	Jon E. Khachaturian
1715	789	Kenneth L. Suazo
1716	789	Isaac Suazo
1717	789	Annabelle Suazo
1718	789	Dawn Suazo Daugherty
1719	789	Juan Griego
1720	789	Julian Suazo
1721	790	Robert A. Robinson
1722	791	Mahesh  Kotnis
1723	791	Elizabeth Louise Otloski
1724	791	Paul Terrence Wombwell
1725	791	William Walter Charles Badcock
1726	791	Richard Martin Broad
1727	792	Sidney E. Veazey
1728	793	Raymond R. Price
1729	794	Orbin F. Sumrall
1730	795	Henry K. Obermeyer
1731	795	Robert D. Eckman
1732	795	T. W. Mo
1733	796	Donald A. Starke
1734	796	John A. Striednig
1735	796	Keith R. Bartlett
1736	796	Robert F. Jenkins
1737	797	Thomas N. Carr
1738	797	Cheng-Yo Chen
1739	797	Robin M. Converse
1740	797	Robert M. Harrell
1741	797	Daniel M. Houser
1742	797	Charles F. Kasischke
1743	797	Gautam K. Chaudhury
1744	798	Sidney E. Veazey
1745	799	Rafael Torres Samper
1746	799	Carlos Fermin Menendez  Diaz
1747	800	Thomas N. Carr
1748	800	Cheng-Yo  Chen
1749	800	Robin M. Converse
1750	800	Robert M. Harrell
1751	800	Daniel M. Houser
1752	800	Charles F. Kasischke
1753	800	Gautam K. Chaudhury
1754	801	Veazey; Sidney E.
1755	802	Robert A. Robinson
1756	803	Wayne; Mark
1757	804	J. Eric Spangler
1758	804	Kumar Gopalan Jayanath
1759	804	Bob  Abbott
1760	804	James A. Blazek
1761	805	Khachaturian; Jon
1762	806	Joe  Gaidjiergis
1763	806	Lloyd  Fladgard
1764	806	Scott  Fladgard
1765	807	Sidney E. Veazey
1766	808	Harry B. Lancelot III
1767	808	Thomas E. Lannom
1768	808	Sidney E. Francies III
1769	809	Melin; Sigurd
1770	810	Gentry; David W.
1771	811	Won-Hoi  Yang
1772	812	Won-Hoi  Yang
1773	813	Kocaman; Alp A.
1774	814	Orbin F. Sumrall
1775	814	Wondel G. Creager
1776	815	Adler; Richard S
1777	815	Evans; David A.
1778	815	Abrahamsen; Tore
1779	815	Ensign; Ferrel
1780	815	Hayward; George
1781	815	Nelson; George
1782	815	McFadden; Joseph P.
1783	816	Serge Jacques Fayeulle
1784	816	Robert Allen Alt
1785	817	Hilmar  Janusson
1786	817	Freygarour  Thorsteinsson
1787	817	Sigurour A. Asgeirsson
1788	817	Palmi  Einarsson
1789	818	Clark; Keith R.
1790	819	JAE HYUN  LIM
1791	820	Josep Ramon Medina  Folgado
1792	820	Maria Esther Gomez  Martin
1793	821	Johannes Wilhelmus Jacobus Mikx
1794	822	ATAUL HAQ
1795	823	Cameron Phillip Lewis
1796	824	Michael Duggan Drieu
1797	824	Patrick Michael Cargol, JR.
1798	824	Jonathan Eryl Rogers
1799	824	Pierre Albert Beynet
1800	824	Stanley Silva
1801	825	Gunther Clauss
1802	825	Florian Sprenger
1803	826	John E. IRVINE
1804	826	Steven E. HARGRAVE
1805	827	Cameron Phillip Lewis
1806	828	Alfonso Lopez
1807	829	Matthew D. Campbell
1808	829	Steven G. Hall
1809	829	Robert L. Beine
1810	830	Dominique Roddier
1811	830	Christian Cermelli
1812	831	Boris Feldman
1813	831	Alexander Feldman
1814	831	Michael Feldman
1815	832	Albert E. Aaron
1816	833	Jae Myung Han
1817	834	Tricia Hill
1818	834	Yanqiu Zhang
1819	835	David W. Gentry
1820	836	Roger Hartenburg
1821	836	Berthold Lahl
1822	836	Lothar Kromer
1823	837	Ronald de Strulle
1824	838	John E. Irvine
1825	838	Steven E. Hargrave
1826	839	Jon Khachaturian
1827	840	Ronald de Strulle
1828	841	Josep Ramon Medina Folgado
1829	841	Maria Esther Gomez Martin
1830	842	John C. BAYER
1831	842	Thomas C. Gandolfo
1832	843	Jae Myung Han
1833	844	Lou Watkins
1834	845	Francesco Sposito
1835	846	Edward R. Fyfe
1836	846	Robert Joness Fyfe
1837	847	Jon Khachaturian
1838	848	Alfonso Lopez
1839	849	Yun Ding
1840	849	William Soester Lawrence
1841	850	Robin M. Converse
1842	850	Young-Chan Park
1843	851	Changshi Mao
1844	851	Robin Converse M.
1845	852	Matthew D. Campbell
1846	852	Robert L. Beine
1847	852	Steven G. Hall
1848	853	Robin Converse M.
1849	853	Young-Chan Park
1850	854	John E. Irvine
1851	855	John E. Irvine
1852	856	John Irvine E.
1853	857	Robert Magee Shivers, III
1854	857	Michael Christopher Tucker
1855	857	David Clark Schuman
1856	858	Zhenxin Chen
1857	858	Ze Chen
1858	859	Roy Stoecker R.
1859	859	Leland Hairr M.
1860	860	John Irvine E.
1861	861	Rafael Torres Samper
1862	861	Carlos Fermin Menendez Diaz
