patent	us_class
498	238/084
499	428/034.1
500	083/178
501	175/057
502	203/001
503	210/603
504	210/615
505	210/220
506	405/302.6
507	210/097
508	210/602
509	588/256
510	210/149
511	210/721
512	405/229
513	210/626
514	405/129.57
515	588/252
516	052/020
517	166/302
518	429/012
519	210/695
520	435/290.1
521	166/245
522	210/610
523	405/075
524	422/261
525	202/185.1
526	210/163
527	210/709
528	210/617
529	210/722
530	405/061
531	405/302.4
532	210/640
533	205/626
534	106/724
535	166/302
536	210/620
537	166/053
538	210/605
539	166/057
540	166/064
541	166/263
542	166/300
543	210/718
544	405/270
545	166/250.12
546	435/262
547	166/302
548	405/129.25
549	210/650
550	210/620
551	166/066.5
552	210/743
553	435/262
554	210/626
555	405/229
556	405/284
557	052/020
558	203/011
559	166/303
560	210/169
561	029/426.4
562	552/625
563	210/624
564	210/163
565	134/001
566	210/739
567	210/257.1
568	422/186.21
569	210/718
570	264/141
571	435/262.5
572	405/129.95
573	405/229
574	210/799
575	588/253
576	210/610
577	210/638
578	210/691
579	210/620
580	062/532
581	106/772
582	210/620
583	210/768
584	110/345
585	405/129.75
586	210/742
587	241/021
588	166/305.1
589	241/099
590	501/072
591	800/295
592	060/775
593	210/621
594	405/129.95
595	210/620
596	210/620
597	210/634
598	422/245.1
599	700/090
600	210/609
601	210/620
602	210/620
603	210/151
604	037/307
605	702/030
606	037/317
607	210/602
608	210/739
609	205/626
610	210/620
611	210/636
612	210/739
613	210/151
614	210/605
615	210/656
616	062/188
617	588/256
618	277/314
619	210/605
620	062/291
621	210/151
622	210/631
623	423/483
624	210/163
625	210/198.1
626	052/582.1
627	422/026
628	428/129
629	210/605
630	405/129.55
631	210/616
632	210/759
633	428/332
634	210/263
635	210/606
636	210/616
637	373/060
638	606/046
639	210/748
640	065/134.3
641	210/121
642	405/129.2
643	588/256
644	210/603
645	210/719
646	210/602
647	210/137
648	210/603
649	210/605
650	210/626
651	219/121.37
652	210/732
653	405/218
654	422/277
655	210/638
656	166/290
657	210/605
658	604/024
659	210/754
660	043/131
661	159/047.1
662	405/036
663	060/495
664	426/513
665	405/114
666	405/016
667	405/126
668	405/077
669	405/114
670	426/119
671	405/198
672	405/031
673	405/107
674	052/295
675	405/043
676	405/045
677	264/036.22
678	264/309
679	244/118.1
680	405/045
681	383/038
682	405/210
683	405/062
684	405/079
685	507/269
686	404/025
687	175/325.2
688	405/251
689	083/054
690	405/274
691	206/006
692	405/096
693	264/314
694	405/077
695	210/170.3
696	137/001
697	148/400
698	148/400
699	148/400
700	405/302.6
701	405/030
702	210/170.3
703	290/044
704	264/101
705	405/288
706	405/016
707	404/025
708	052/309.1
709	156/290
710	405/111
711	405/284
712	405/101
713	425/072.2
714	429/035
715	405/045
716	220/810
717	210/747
718	264/211.14
719	405/200
720	210/170.7
721	425/006
722	277/642
723	052/314
724	052/169.13
725	405/096
726	405/302.6
727	606/095
728	425/387.1
729	404/025
730	405/021
731	405/029
732	052/020
733	428/220
734	405/043
735	264/109
736	173/184
737	375/240.16
738	404/025
739	405/092
740	405/216
741	425/390
742	405/023
743	404/025
744	405/276
745	280/743.1
746	405/216
747	052/079.9
748	264/314
749	405/224
750	175/020
751	114/059
752	405/224.4
753	264/255
754	175/020
755	405/121
756	405/118
757	052/122.1
758	052/745.8
759	114/264
760	264/250
761	405/274
762	405/036
763	405/274
764	405/274
765	428/174
766	210/503
767	037/466
768	425/146
769	405/121
770	175/058
771	118/620
772	405/050
773	405/276
774	052/079.1
775	114/258
776	405/118
777	264/635
778	405/021
779	405/302.6
780	299/031
781	249/091
782	405/036
783	405/195.1
784	405/121
785	405/205
786	405/124
787	175/020
788	405/203
789	405/036
790	405/270
791	428/304.4
792	405/016
793	052/169.12
794	264/040.4
795	405/115
796	052/302.1
797	405/204
798	405/016
799	294/112
800	405/204
801	405/016
802	405/052
803	405/032
804	405/302.6
805	405/202
806	264/156
807	114/065.A
808	249/091
809	405/107
810	405/284
811	405/284
812	405/284
813	405/209
814	264/333
815	405/097
816	264/107
817	442/306
818	264/045.2
819	159/047.1
820	405/016
821	405/198
822	405/031
823	405/210
824	405/062
825	210/747.5
826	405/274
827	206/006
828	264/314
829	405/030
830	290/044
831	405/111
832	405/284
833	405/033
834	405/200
835	210/170.7
836	405/015
837	210/143
838	052/169.13
839	114/050
840	210/198.1
841	405/029
842	238/084
843	405/018
844	405/216
845	405/023
846	405/216
847	405/204
848	264/314
849	405/224
850	114/059
851	405/224.4
852	405/030
853	114/264
854	405/274
855	405/274
856	405/274
857	405/227
858	405/031
859	405/050
860	405/276
861	294/112
862	114/230.1
863	405/302.6
864	405/015
865	405/195.1
866	405/205
867	405/203
868	405/016
869	405/115
870	405/016
871	405/204
872	405/016
873	294/112
874	405/195.1
875	405/204
876	405/016
877	405/032
878	405/302.6
879	405/202
880	264/156
881	114/065.A
882	405/284
883	405/284
884	405/209
885	405/216
886	114/382
887	405/284
888	405/218
889	405/033
890	405/204
891	405/281
892	037/345
893	405/021
894	405/227
895	405/223.1
896	264/040.5
897	405/197
898	405/227
899	405/211
900	405/195.1
901	405/198
902	405/029
903	405/029
904	405/274
905	405/016
906	405/081
907	405/216
908	405/195.1
909	405/205
910	405/163
911	405/032
912	052/102
913	405/021
914	405/034
915	404/046
916	405/195.1
917	405/286
918	405/242
919	405/031
920	114/219
921	405/031
922	405/216
923	405/030
924	405/225
925	052/169.1
926	405/199
927	114/219
928	405/019
929	405/262
930	405/225
931	166/295
932	405/030
933	405/225
934	405/225
935	405/211
936	405/262
937	428/052
938	405/262
939	405/031
940	405/212
941	405/227
942	405/284
943	405/224
944	405/074
945	405/016
946	405/227
947	138/089
948	405/217
949	405/031
950	405/198
951	405/195
952	405/204
953	405/195
954	114/264
955	405/195
956	114/264
957	405/080
958	061/103
959	267/140
960	061/004
961	061/004
962	061/054
963	114/219
964	173/127
965	405/064
966	137/511
967	362/551
968	165/045
969	405/062
970	425/449
971	405/116
972	435/262
973	425/217
974	052/742.14
975	210/464
976	164/044
977	210/086
978	166/245
979	210/601
980	405/060
981	405/240
982	404/025
983	052/296
984	405/016
985	404/025
986	204/252
987	137/899.2
988	405/066
989	405/204
990	405/064
991	210/639
992	114/333
993	405/060
994	324/071.1
995	210/747.6
996	521/025
997	073/040
998	264/272.19
999	405/029
1000	106/692
1001	405/062
1002	382/141
1003	210/609
1004	210/668
1005	405/116
1006	210/093
1007	210/241
1008	117/081
1009	405/016
1010	405/060
1011	405/114
1012	166/363
1013	405/064
1014	405/068
1015	405/224.2
1016	210/170.05
1017	210/705
1018	405/060
1019	210/703
1020	210/703
1021	405/060
1022	405/063
1023	425/090
1024	405/216
1025	405/302.7
1026	210/702
1027	405/063
1028	052/514.5
1029	210/617
1030	404/026
1031	405/030
1032	099/295
1033	137/001
1034	705/500
1035	405/302.6
1036	703/009
1037	052/169.1
1038	405/063
1039	405/224
1040	156/297
1041	404/002
1042	210/602
1043	052/295
1044	405/263
1045	114/312
1046	405/302.7
1047	114/331
1048	404/025
1049	264/299
1050	435/262
1051	204/630
1052	264/069
1053	405/107
1054	405/104
1055	425/087
1056	435/177
1057	405/019
1058	425/397
1059	405/014
1060	425/224
1061	404/025
1062	210/141
1063	222/001
1064	427/142
1065	062/064
1066	073/040
1067	405/111
1068	405/101
1069	425/388
1070	166/271
1071	264/318
1072	073/040
1073	501/142
1074	202/167
1075	210/602
1076	405/274
1077	073/040
1078	405/252
1079	210/198.1
1080	210/650
1081	210/512.1
1082	405/232
1083	404/002
1084	210/096.1
1085	523/132
1086	052/103
1087	210/143
1088	422/028
1089	405/087
1090	210/138
1091	264/621
1092	033/515
1093	405/302.6
1094	422/186.12
1095	210/093
1096	405/117
1097	203/011
1098	134/001
1099	588/260
1100	256/013.1
1101	702/150
1102	073/776
1103	405/107
1104	210/170.8
1105	062/285
1106	405/087
1107	203/088
1108	210/143
1109	264/241
1110	210/763
1111	137/312
1112	164/028
1113	425/005
1114	220/571
1115	210/747
1116	501/142
1117	428/292.1
1118	210/167.22
1119	210/742
1120	404/025
1121	405/092
1122	114/355
1123	405/036
1124	405/241
1125	405/216
1126	264/320
1127	134/010
1128	405/302.6
1129	703/009
1130	405/068
1131	405/115
1132	210/167.22
1133	264/268
1134	210/282
1135	052/169.5
1136	174/077.R
1137	210/708
1138	405/019
1139	425/005
1140	114/053
1141	210/608
1142	405/053
1143	047/048.5
1144	405/063
1145	047/048.5
1146	404/129
1147	422/028
1148	425/449
1149	422/028
1150	604/004.1
1151	435/262
1152	363/021.1
1153	052/415
1154	052/309.8
1155	405/129.5
1156	047/048.5
1157	210/747
1158	204/252
1159	405/020
1160	405/087
1161	405/302.6
1162	204/164
1163	210/164
1164	405/025
1165	521/040
1166	405/284
1167	210/673
1168	405/100
1169	052/020
1170	210/198.1
1171	405/286
1172	363/021.1
1173	210/512.1
1174	425/447
1175	210/290
1176	210/646
1177	405/150.1
1178	210/744
1179	405/053
1180	210/791
1181	405/020
1182	047/032.7
1183	422/186.07
1184	405/302.6
1185	264/223
1186	405/108
1187	204/630
1188	405/146
1189	702/168
1190	606/197
1191	446/015
1192	264/162
1193	264/162
1194	363/021.01
