ipc	patent
C02F	212
C02F	212
C02F	212
C02F	212
C02F	212
B63B	213
E02B	213
C02F	214
E02D	215
B63B	216
B65D	216
C02F	216
B01D	216
B09B	217
C02F	218
B01D	218
F25J	219
B01D	219
C02F	219
F24F	219
A62B	219
A62B	219
B09B	220
B01D	221
B01D	221
B01D	221
B01D	222
C02F	223
C02F	223
C02F	223
C02F	224
C08F	225
C09K	225
G06G	225
C02F	226
C02F	226
C10B	227
C10B	227
E02D	228
C02F	229
C02F	230
B01D	230
C25B	230
C02F	231
C02F	231
C02F	231
B01J	231
C02F	232
C02F	233
C02F	233
C02F	233
B09C	234
B63G	234
B63C	234
C02F	235
E02D	236
E21B	237
E21B	237
E21B	237
B01D	238
C05F	239
B09C	240
B01J	241
B09B	241
F28D	241
C02F	241
E21B	241
B09B	242
E02D	243
E04C	243
B01D	244
C02F	245
C02F	245
B01D	245
C02F	246
C02F	246
C02F	246
C02F	247
C02F	247
B01J	248
E02D	249
E04C	249
E04G	249
E04C	249
E02D	250
B65D	250
E04H	250
E04C	250
E04B	250
E04B	250
B65D	250
E02B	251
C02F	251
C02F	251
C02F	252
C02F	253
C02F	254
B01D	254
B01D	255
C02F	255
A61M	255
B01J	255
C02F	256
C02F	257
C02F	257
C02F	257
C02F	258
B01D	258
B01D	258
B01D	258
C02F	258
C02F	259
C02F	260
C02F	260
A61L	261
A61F	261
B09B	261
C08L	261
C08J	261
C02F	261
C02F	262
C02F	262
C02F	262
C02F	262
C02F	263
C02F	264
C02F	265
C02F	265
C02F	265
B01D	266
C01B	266
B01F	266
B09B	266
C02F	267
C02F	268
C02F	269
C02F	269
C02F	269
C02F	269
C02F	269
C02F	269
C02F	269
B09B	270
B02C	270
B01D	271
B01D	271
C02F	271
B32B	271
C11D	272
B09B	272
C25D	273
C09C	273
C02F	273
C01B	273
C02F	274
C02F	274
C02F	274
C02F	274
C02F	275
B01D	276
C02F	276
B01D	276
C02F	276
B01D	277
C09K	277
C02F	277
C02F	277
E02B	277
B01D	278
A61L	279
B02C	279
C02F	280
E02D	281
A62D	282
B09C	283
A47K	284
C02F	285
C02F	285
C05F	285
B01D	286
C02F	287
B09C	288
C02F	289
B01D	289
B03C	290
C02F	291
C02F	291
C02F	291
C02F	292
C25B	293
B09C	294
B63G	294
B01D	295
C02F	295
E21B	296
E21B	296
A23L	296
B01D	297
B01D	297
B01D	297
B01D	297
B01D	298
B01D	299
B01D	300
C02F	301
C02F	301
C02F	301
C02F	301
C02F	302
C02F	302
C02F	302
B01J	303
C02F	303
B01D	304
B01D	304
B01D	304
C02F	304
E02D	305
E04G	306
C02F	307
B01D	307
C02F	307
C02F	307
B01D	307
C02F	308
C02F	309
B01D	309
C02F	309
C02F	310
C02F	311
C02F	312
B01D	313
C25B	313
C02F	314
C02F	314
B01D	315
C02F	315
C02F	316
B09B	317
B03B	318
B03B	318
B03B	318
C02F	319
B01D	319
B01D	319
B02C	320
B02C	320
B01D	321
B01D	321
C02F	322
B01D	323
C02F	323
C02F	323
B01D	324
B01D	324
C02F	324
E01C	325
E02D	325
E02D	326
B01D	327
C02F	327
C11D	328
C02F	329
F23G	330
C10B	330
B09B	331
C02F	332
C02F	332
C02F	332
B09B	333
B09B	334
C02F	335
C02F	336
B01D	336
B01F	337
B09C	338
C02F	339
C02F	339
C02F	340
C02F	341
C02F	342
B01J	342
C02F	342
C02F	343
C02F	344
F26B	345
F26B	345
C02F	346
A62D	347
C04B	348
C04B	348
B09B	348
B09B	349
E02D	350
C02F	351
B09C	352
B09C	352
B32B	353
B32B	353
C03B	353
C04B	353
C03B	353
C02F	354
B01D	354
A61L	355
E02D	356
C02F	357
B09C	358
B08B	359
C02F	360
C02F	361
B09B	362
B09B	363
B09B	364
B09B	365
C02F	366
C02F	366
A62D	366
B09B	367
C02F	368
B01D	369
C02F	369
C02F	370
C02F	371
E02D	372
E02D	373
A62B	374
A62B	374
C02F	375
E02D	376
C02F	377
B01D	378
B01D	378
B01D	378
B01D	378
B01D	378
B01D	378
B01D	378
C02F	378
B01D	379
B09B	380
B09B	381
C02F	382
B09B	382
E02D	383
E02D	384
C02F	385
C25B	386
E02D	387
E02D	387
C02F	388
B09C	389
B02C	390
A61L	391
H05B	391
B09B	392
C02F	393
C02F	394
E02D	395
E02D	395
C02F	396
C04B	397
C04B	397
C02F	398
C02F	399
B64D	400
C02F	400
C02F	400
H01M	400
B65D	401
B01D	402
B01D	403
C02F	404
E02D	405
E21D	406
E02D	406
C02F	407
C12M	408
C12M	408
A62D	409
C02F	410
B09B	411
B01D	412
C02F	413
B09B	414
C02F	415
B09B	416
C02F	417
E03F	418
A61K	419
C02F	419
C02F	420
C02F	420
E02B	421
B09B	422
C01B	423
B32B	424
E04C	425
C12S	426
B09B	427
C02F	428
B09B	429
B09B	430
C10G	431
C02F	431
B01D	432
E02D	433
E02D	433
B65D	434
B28B	435
B28B	435
B28B	435
B28B	435
C25C	436
C25D	436
B09B	437
C25F	438
C02F	439
C02F	439
C02F	439
C02F	440
C02F	441
C02F	442
A01K	442
C02F	442
B01D	443
B28B	444
E02D	444
B01F	445
A62D	445
C10L	446
C12P	446
B01D	447
C02F	448
C02F	449
B01D	450
B01D	451
B01D	452
C02F	453
C02F	454
F16L	455
E02D	455
E02B	456
A01G	456
B09B	457
B01D	458
C08K	459
C08K	459
C08K	459
C25C	460
B01D	461
C02F	461
C02F	462
B01D	463
B01D	463
C02F	464
B01D	464
B02C	465
B65D	466
C25C	467
C25F	467
C02F	467
C02F	468
A62D	469
B30B	470
B03C	471
B07B	471
B07B	471
B07C	471
C01B	472
C25F	473
C02F	473
C02F	474
C02F	475
C02F	476
E02D	477
B32B	477
C02F	478
E21D	479
E02D	479
C02F	480
C12Q	481
C12S	481
C01B	482
C12P	482
B02C	483
C09K	484
A61B	485
F26B	486
C02F	487
C02F	488
F16L	489
C02F	490
C02F	491
C02F	492
C10J	493
B09C	494
G21F	494
A62D	494
B01D	494
C02F	494
B01J	495
C08K	496
A62D	496
C09K	496
B09B	496
A01G	497
E01B	498
B32B	499
B23D	500
E02D	501
E02D	501
E02D	501
B01D	502
C02F	503
C02F	504
C02F	505
E02D	506
B01D	507
C02F	508
A62D	509
B01D	510
C10J	511
E01C	512
E02B	512
E02B	512
E02D	512
C02F	513
B65D	514
B09C	514
B09B	515
E02D	516
B65D	516
E21B	517
H01M	518
C02F	519
C12M	520
E21B	521
C02F	522
E02B	523
E02D	523
B01D	524
B01D	525
B01D	525
B01D	525
E03F	526
C02F	527
C02F	528
C02F	529
E02B	530
E02D	530
E02D	531
C09K	531
C02F	532
C25D	533
C04B	534
E21B	535
C02F	536
E21B	537
C02F	538
C02F	538
E21B	539
E21B	540
E21B	541
E21B	542
C02F	543
B09B	544
E21B	545
C12S	546
E21B	547
B09B	548
B01D	549
B01D	549
C02F	550
E21B	551
C02F	552
C07F	553
C02F	554
E02D	555
C09K	555
E02D	556
E04H	557
E02B	557
B01D	558
E21B	559
E04H	560
B23P	561
C07J	562
C02F	562
C02F	563
E03F	564
B08B	565
C02F	566
C02F	567
B01J	568
C02F	569
B29B	570
B29B	570
B29C	570
C12S	571
B09C	572
B09C	572
E02D	573
E02D	573
C02F	574
A62D	575
C02F	576
B01D	577
C02F	578
C02F	579
B01D	580
C04B	581
C02F	582
C02F	583
F23J	584
B09B	585
E02B	585
C02F	586
B02C	587
B09B	588
B02C	589
C03C	590
C03C	590
A01H	591
F02C	592
C02F	593
B09B	594
C02F	595
C02F	596
B01D	597
C02F	597
C02F	597
B01D	598
G06F	599
C02F	600
C02F	601
C02F	602
B01D	603
E02F	604
G06F	605
E02F	606
G06F	606
C02F	607
B01D	608
C25C	609
C02F	610
B01D	611
B01D	612
C02F	613
C02F	614
B01D	615
F25D	616
F25D	616
B09C	617
G21F	618
C02F	619
F25D	620
F25D	620
C02F	621
C02F	622
C01B	623
C01D	623
B01D	624
B01J	625
E04B	626
A61L	627
F26B	627
B08B	627
B08B	627
B32B	628
C02F	629
G21F	630
G21F	630
B09B	630
E02D	630
E02D	630
E02D	630
C02F	631
C02F	632
B32B	633
B01D	634
C02F	635
C12N	635
C02F	636
F27D	637
H05B	637
H05B	637
C02F	637
E21B	637
A61B	638
C02F	639
C03B	640
C03C	640
C03C	640
C03C	640
G21F	640
B01D	641
B09B	642
A62D	643
B09B	643
C02F	644
C02F	645
C02F	646
C02F	646
C01G	646
B08B	647
C02F	647
C02F	648
C02F	648
C02F	649
C02F	650
B23K	651
C02F	652
E02D	653
E02D	653
E02D	653
B01D	654
B01D	655
C02F	655
E21B	656
C02F	657
A61M	658
C02F	659
A01M	660
A01M	660
A01N	660
C01D	661
E02B	661
E02B	661
E02B	662
F03B	663
A22C	664
B28B	664
E02B	665
E02B	666
E01F	667
B28B	667
E02B	668
E02B	669
B65D	670
B28B	670
B65D	670
A23L	670
B65D	670
B65D	670
E02B	671
E02B	672
E02B	673
E02D	673
E02D	674
E04G	674
E04B	674
E02B	675
E02B	676
B29C	677
B29C	678
B28B	678
B64C	679
B64C	679
B28B	679
B64C	679
B64C	679
B64D	679
B23P	679
B64C	679
E02B	680
B65D	681
B23P	681
B65D	681
E02D	682
B65D	682
E02B	683
E02B	684
C09K	685
B29B	685
C04B	685
B65D	686
E02D	686
E21B	687
E02D	688
E02D	688
E02D	688
E02D	688
E02D	689
B26D	689
B23D	689
E02D	690
B65B	691
F17D	691
E02B	692
B28B	693
B29C	693
E02B	694
E02B	695
F15D	696
F16L	696
B22C	697
B28B	697
B22C	697
B22D	697
C22C	697
B22C	698
B28B	698
B22C	698
B22D	698
C22C	698
B22C	699
B28B	699
B22C	699
