ipc	patent
E02D	531
C02F	532
C25D	533
C04B	534
E21B	535
C02F	536
E21B	537
C02F	538
E21B	539
E21B	540
E21B	541
E21B	542
C02F	543
B09B	544
E21B	545
C12S	546
E21B	547
B09B	548
B01D	549
C02F	550
E21B	551
C02F	552
C07F	553
C02F	554
E02D	555
E02D	556
E04H	557
B01D	558
E21B	559
E04H	560
B23P	561
C07J	562
C02F	563
E03F	564
B08B	565
C02F	566
C02F	567
B01J	568
C02F	569
B29B	570
C12S	571
B09C	572
E02D	573
C02F	574
A62D	575
C02F	576
B01D	577
C02F	578
C02F	579
B01D	580
C04B	581
C02F	582
C02F	583
F23J	584
B09B	585
C02F	586
B02C	587
B09B	588
B02C	589
C03C	590
A01H	591
F02C	592
C02F	593
B09B	594
C02F	595
C02F	596
B01D	597
B01D	598
G06F	599
C02F	600
C02F	601
C02F	602
B01D	603
E02F	604
G06F	605
E02F	606
C02F	607
B01D	608
C25C	609
C02F	610
B01D	611
B01D	612
C02F	613
C02F	614
B01D	615
F25D	616
B09C	617
G21F	618
C02F	619
F25D	620
C02F	621
C02F	622
C01B	623
B01D	624
B01J	625
E04B	626
A61L	627
B32B	628
C02F	629
G21F	630
C02F	631
C02F	632
B32B	633
B01D	634
C02F	635
C02F	636
F27D	637
A61B	638
C02F	639
C03B	640
B01D	641
B09B	642
A62D	643
C02F	644
C02F	645
C02F	646
B08B	647
C02F	648
C02F	649
C02F	650
B23K	651
C02F	652
E02D	653
B01D	654
B01D	655
E21B	656
C02F	657
A61M	658
C02F	659
A01M	660
C01D	661
E02B	662
F03B	663
A22C	664
E02B	665
E02B	666
E01F	667
E02B	668
E02B	669
B65D	670
E02B	671
E02B	672
E02B	673
E02D	674
E02B	675
E02B	676
B29C	677
B29C	678
B64C	679
E02B	680
B65D	681
E02D	682
E02B	683
E02B	684
C09K	685
B65D	686
E21B	687
E02D	688
E02D	689
E02D	690
B65B	691
E02B	692
B28B	693
E02B	694
E02B	695
F15D	696
B22C	697
B22C	698
B22C	699
E02B	700
E02B	701
C02F	702
H02P	703
B28B	704
E02D	705
E02B	706
E02D	707
E04C	708
B32B	709
E02B	710
E02D	711
E02B	712
B28B	713
C03C	714
E02B	715
B65D	716
E02B	717
D01D	718
E02B	719
B01D	720
B28B	721
F16J	722
E04C	723
E02D	724
E02B	725
E02D	726
A61B	727
B28B	728
E02D	729
E02B	730
E02B	731
E02D	732
B32B	733
E02B	734
B27N	735
E02D	736
H04N	737
E02D	738
E02B	739
E02D	740
B28B	741
E02B	742
E02D	743
E02D	744
B32B	745
E02D	746
E04H	747
B29C	748
E02D	749
E21B	750
B63B	751
E02D	752
B28B	753
E21B	754
E02B	755
E02B	756
E02D	757
E04B	758
B63B	759
B28B	760
E02B	761
E02B	762
E02D	763
E02D	764
B32B	765
B01D	766
E02F	767
B28B	768
E02B	769
E21B	770
B05C	771
E02B	772
E02B	773
E04H	774
B63B	775
E02B	776
B28B	777
E02B	778
E02B	779
E21C	780
E04G	781
E01F	782
E02B	783
E02B	784
E02D	785
E01D	786
E21B	787
E02B	788
E02B	789
E02B	790
B32B	791
G02B	792
E02D	793
G01B	794
E02B	795
E04B	796
E02B	797
E02B	798
B66C	799
E02B	800
G02B	801
E02B	802
E02B	803
E02B	804
E02D	805
B28B	806
E02B	807
B22D	808
E02B	809
E02D	810
E02D	811
E02D	812
B63B	813
B28B	814
E02B	815
B29D	816
B32B	817
B28B	818
C01D	819
E02B	820
E02B	821
E02B	822
E02D	823
E02B	824
C02F	825
E02D	826
B65B	827
B28B	828
E02B	829
H02P	830
E02B	831
E02D	832
E02B	833
E02B	834
B01D	835
E02B	836
E02B	837
E02D	838
E02D	839
C02F	840
E02B	841
C09K	842
E03B	843
E02D	844
E02B	845
E02D	846
E02D	847
B29C	848
E02D	849
B63B	850
E02D	851
E02B	852
B63B	853
E02B	854
E02D	855
E02D	856
E02B	857
E02B	858
E02B	859
E02B	860
B66C	861
B63B	862
E02B	863
E02B	864
E02B	865
E02D	866
E02B	867
G02B	868
E02B	869
E02B	870
E02B	871
E02B	872
B66C	873
E02B	874
E02B	875
G02B	876
E02B	877
E02B	878
E02D	879
B28B	880
E02B	881
E02D	882
E02D	883
B63B	884
A44B	885
B63B	886
E02D	887
E02D	888
E02B	889
E02B	890
E02D	891
E02D	892
E02B	893
E02B	894
E02D	895
B28B	896
E02B	897
E02B	898
F16L	899
E02D	900
E02B	901
E02B	902
E02B	903
E02D	904
E02B	905
E02B	906
E02D	907
E02B	908
E02D	909
F16L	910
E02B	911
E04C	912
E02B	913
F02B	914
E02B	915
E02D	916
E02D	917
E02D	918
E02B	919
B63B	920
E02B	921
E02D	922
E02B	923
E02B	924
E02D	925
E02B	926
B63B	927
E02B	928
E02D	929
E02B	930
E21B	931
E02B	932
E02B	933
E02B	934
E02B	935
E02D	936
B32B	937
E02D	938
E02B	939
B63B	940
E02D	941
E02D	942
B63B	943
E02B	944
E02B	945
E02D	946
E02D	947
E02B	948
E02B	949
B63B	950
E02B	951
E02R	952
E02D	953
E02B	954
F02D	955
E02B	956
E02B	957
E02B	958
F16F	959
E02B	960
E02B	961
E02D	962
B63B	963
E02D	964
E02B	965
F16K	966
F21V	967
E02B	968
E02B	969
B28B	970
E02B	971
B09B	972
B28B	973
E04B	974
B01D	975
B22C	976
C02F	977
E02D	978
C02F	979
E02B	980
E02D	981
E02D	982
E02D	983
E02B	984
E02D	985
C02F	986
B60P	987
E02B	988
E02B	989
E02B	990
C02F	991
B63G	992
E02B	993
G01N	994
E02B	995
C08J	996
G01M	997
B27N	998
E02B	999
C04B	1000
E02B	1001
G06K	1002
C02F	1003
C02F	1004
E02B	1005
B01D	1006
B01D	1007
C30B	1008
E02B	1009
E02B	1010
E02B	1011
E21B	1012
E02D	1013
E02B	1014
E02D	1015
E02B	1016
C02F	1017
E02B	1018
E02B	1019
C02F	1020
E02B	1021
E02B	1022
B28B	1023
E02D	1024
E02B	1025
C02F	1026
E02B	1027
E04G	1028
B01D	1029
E02D	1030
E02B	1031
C02F	1032
F15D	1033
G06Q	1034
E02B	1035
G06G	1036
E04B	1037
E02B	1038
E02D	1039
B44B	1040
E01F	1041
C02F	1042
E04C	1043
C09K	1044
B63G	1045
E02B	1046
B63G	1047
E02D	1048
B29C	1049
C02F	1050
H01G	1051
B28B	1052
E02B	1053
E02B	1054
B28B	1055
C12N	1056
E02D	1057
B28B	1058
E02D	1059
B28B	1060
E04G	1061
B01D	1062
B67D	1063
B23P	1064
F25D	1065
G01M	1066
E02B	1067
E02B	1068
B28B	1069
E21B	1070
B28B	1071
G01M	1072
C04B	1073
C02F	1074
C02F	1075
E02D	1076
G01M	1077
B09B	1078
C02F	1079
B01D	1080
B01D	1081
E02D	1082
E01F	1083
C02F	1084
C09K	1085
E04H	1086
E02B	1087
A61L	1088
E02B	1089
C02F	1090
B28B	1091
A61B	1092
E02D	1093
B01J	1094
B01D	1095
E02B	1096
C02F	1097
B08B	1098
E02D	1099
E01F	1100
G06F	1101
G01L	1102
E02B	1103
C02F	1104
B01D	1105
E02B	1106
B01D	1107
B01D	1108
B29C	1109
C02F	1110
D06F	1111
B22C	1112
B28B	1113
B65D	1114
C02F	1115
A62D	1116
B32B	1117
A01K	1118
C02F	1119
E02D	1120
E02B	1121
E02B	1122
E02B	1123
E02D	1124
E02D	1125
B29C	1126
B08B	1127
E02D	1128
G06G	1129
E02B	1130
E02B	1131
A01K	1132
B29C	1133
C02F	1134
E02D	1135
H02G	1136
C02F	1137
E02B	1138
B28B	1139
B63C	1140
C02F	1141
