patent	us_class
1141	701/200
1142	700/245
1143	362/153.1
1144	404/084.1
1145	405/036
1146	104/275
1147	428/406
1148	382/108
1149	340/908
1150	362/559
1151	315/324
1152	037/266
1153	362/559
1154	104/012
1155	356/601
1156	404/098
1157	104/002
1158	404/014
1159	362/153.1
1160	362/307
1161	404/013
1162	235/384
1163	104/012
1164	428/150
1165	362/108
1166	404/014
1167	362/102
1168	362/249.03
1169	362/327
1170	348/148
1171	340/432
1172	362/249.02
1173	315/152
1174	463/016
1175	315/362
1176	362/341
1177	404/009
1178	701/001
1179	348/143
1180	362/249.3
1181	340/432
1182	348/149
1183	362/431
1184	362/296.5
1185	361/619
1186	359/017
1187	701/300
1188	404/009
1189	463/016
1190	362/464
1191	362/326
1192	362/294
1193	362/543
1194	362/510
1195	239/722
1196	362/390
1197	359/436
1198	362/539
1199	362/509
1200	385/018
1201	340/942
1202	362/145
1203	362/543
1204	362/539
1205	250/504.R
1206	239/722
1207	362/084
1208	340/475
1209	033/286
1210	359/015
1211	362/276
1212	250/504.R
1213	340/568.5
1214	362/510
1215	362/543
1216	340/568.5
1217	362/508
1218	040/544
1219	362/539
1220	250/504.R
1221	359/868
1222	385/002
1223	362/508
1224	250/504.R
1225	356/004.1
1226	340/384.2
1227	404/084.5
1228	404/084.5
1229	340/933
1230	362/268
1231	340/912
1232	350/319
1233	350/006.5
1234	362/297
1235	404/014
